compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1.0,0.0,4.0,1000000.0,2050897.0,821.5,1324.0,1122.0,1875.0,3846.0,0.0,268.0,226.0,473.5,473.5,4283.0,884.5,0.0,0.0
1.0,0.0,4.0,1000000.0,1346585.5,539.35,1677.0,1460.5,2610.0,4482.5,0.0,292.5,239.0,581.0,581.0,3728.5,1105.5,0.0,1146.0
1.0,0.0,4.0,1000000.0,2090854.5,837.5,1301.5,1105.5,1818.0,3778.0,0.0,270.5,231.5,495.0,495.0,4146.0,1121.0,0.0,0.0
1.0,0.0,4.0,1000000.0,1760529.0,705.2,1453.5,1235.5,2245.5,4146.5,0.0,264.5,195.5,531.5,531.5,4888.5,1157.0,0.0,1061.0
1.0,0.0,4.0,1000000.0,1731420.0,693.5,1476.5,1279.5,2207.0,4124.5,0.0,270.0,231.5,558.5,558.5,4558.5,1096.5,0.0,1027.0
0.0,0.0,4.0,1000000.0,1634734.5,654.75,1537.0,1262.0,2451.5,4216.5,0.0,300.0,315.5,357.0,357.0,1317.0,718.0,0.0,0.0
0.0,0.0,4.0,1000000.0,1658025.5,664.1,1500.0,1181.5,2257.5,4170.5,0.0,437.5,342.5,795.0,795.0,937.0,980.0,0.0,0.0
0.0,0.0,4.0,1000000.0,1568182.5,628.15,1607.5,1393.0,2544.0,4407.0,0.0,405.0,376.0,638.5,638.5,1564.5,863.5,0.0,0.0
0.0,0.0,4.0,1000000.0,1573359.0,630.2,1581.0,1334.5,2553.5,4266.0,0.0,387.0,412.0,631.0,631.0,1538.5,960.5,0.0,1240.0
0.0,0.0,4.0,1000000.0,1429618.5,572.65,1671.0,1436.5,2700.0,4471.5,0.0,492.5,525.5,742.5,742.5,1336.0,998.0,0.0,0.0
