NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
25,1,1,4,1000000,1719210,688.6,1459,1222,2325,4183,0,267,192,587,587,4216,1110,0,1066
26,1,1,4,1000000,2105806,843.5,1275,1092,1752,3703,0,376,514,578,578,3807,627,0,0
27,1,1,4,1000000,1218259,488.0,1758,1561,2677,4603,0,323,264,629,629,4365,1125,0,1177
28,1,1,4,1000000,1409607,564.6,1627,1343,2546,4403,0,331,345,668,668,3823,1036,0,0
29,1,1,4,1000000,1348787,540.2,1724,1505,2691,4622,0,263,278,590,590,4928,1110,0,1050
30,1,1,4,1000000,2105813,843.5,1267,1091,1778,3663,0,309,209,649,649,4965,1121,0,0
31,1,1,4,1000000,1612994,646.1,1525,1259,2453,4475,0,297,262,556,556,3668,1097,0,0
32,1,1,4,1000000,2067921,828.3,1296,1101,1782,3696,0,268,282,577,577,4742,1057,0,0
33,1,1,4,1000000,2132995,854.4,1265,1089,1763,3701,0,314,261,601,601,4439,1069,0,0
34,1,1,4,1000000,1325077,530.8,1672,1469,2593,4452,0,234,206,419,491,4391,1136,0,1065
35,0,1,4,1000000,1277958,511.9,1739,1457,2738,4620,0,467,298,1303,1303,1125,970,0,630
36,0,1,4,1000000,1206586,483.3,1824,1422,2641,4481,0,685,548,1285,1285,1142,883,0,0
37,0,1,4,1000000,2049747,821.0,1295,1084,1813,3890,0,323,330,490,490,1293,928,0,0
38,0,1,4,1000000,2003631,802.5,1307,1085,1773,3820,0,634,346,1365,1365,504,1069,0,0
39,0,1,4,1000000,1424618,570.6,1615,1372,2684,4512,0,456,445,880,880,1593,961,0,0
40,0,1,4,1000000,1402680,561.8,1607,1339,2539,4497,0,442,378,754,754,0,925,0,0
41,0,1,4,1000000,1282788,513.8,1734,1522,2702,4683,0,570,348,1658,1658,0,966,0,0
42,0,1,4,1000000,1497208,599.7,1540,1284,2597,4185,0,323,397,501,501,2045,945,0,1091
43,0,1,4,1000000,1705908,683.3,1440,1127,2210,4001,0,375,388,527,527,1950,1113,0,0
44,0,1,4,1000000,1934764,775.0,1374,1137,2061,3961,0,587,905,1046,1046,1018,910,0,0
