NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
25,1,5,4,1000000,6.958702,4.194631,15.939597,35.654362,44.043624
26,1,5,4,1000000,6.376050,4.194631,5.243289,47.189597,75.503356
27,1,5,8,1000000,10.651629,4.194631,40.548098,75.503356,83.892617
28,1,5,8,1000000,8.522897,4.194631,15.939597,58.724832,88.087248
29,1,5,16,1000000,18.454029,4.194631,69.211409,79.697987,86.689038
30,1,5,16,1000000,16.014871,4.194631,58.724832,100.671141,104.865772
31,1,5,32,1000000,28.349420,5.033557,72.357383,109.060403,125.838926
32,1,5,32,1000000,26.796432,5.033557,74.105145,88.087248,92.281879
33,1,5,48,1000000,28.709218,12.583893,71.308725,104.865772,121.644295
34,1,5,48,1000000,27.334487,12.583893,73.406040,92.281879,125.838926
35,0,5,4,1000000,6.828039,4.194631,5.243289,50.335570,53.481544
36,0,5,4,1000000,8.117248,4.194631,13.982103,63.968121,81.096197
37,0,5,8,1000000,11.535088,4.194631,50.335570,79.697987,96.476510
38,0,5,8,1000000,10.549761,4.194631,37.751678,69.910515,109.060403
39,0,5,16,1000000,18.694153,4.194631,67.114094,80.746644,117.449664
40,0,5,16,1000000,18.052100,4.194631,67.114094,104.865772,117.449664
41,0,5,32,1000000,23.507186,4.194631,69.211409,83.892617,83.892617
42,0,5,32,1000000,26.051528,4.194631,69.910515,90.184564,121.644295
43,0,5,48,1000000,32.646745,20.973154,71.308725,96.476510,109.060403
44,0,5,48,1000000,33.308717,16.778523,75.503356,113.255034,121.644295
