compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1.0,2.0,4.0,1000000.0,1644704.5,658.8,1490.0,1269.5,2362.0,4058.0,0.0,249.0,209.0,436.5,436.5,3673.0,1066.5,0.0,1057.0
1.0,2.0,8.0,1000000.0,1341312.5,537.25,1934.5,1725.0,2811.5,4957.0,0.0,211.0,168.0,370.5,824.5,4717.5,1100.5,0.0,1163.0
1.0,2.0,16.0,1000000.0,1369891.0,548.7,2018.5,1763.5,2686.5,4521.5,0.0,185.0,170.5,273.0,609.0,5254.0,1125.0,0.0,1151.5
1.0,2.0,32.0,1000000.0,1180953.0,473.05,3772.0,1848.5,2821.0,4536.0,0.0,326.5,175.5,546.0,3494.5,4547.0,1049.0,0.0,982.0
1.0,2.0,48.0,1000000.0,752106.5,301.25,8604.5,1846.5,2855.0,4682.0,0.0,1070.0,497.0,2576.5,5812.0,4010.0,989.0,0.0,474.5

0.0,2.0,4.0,1000000.0,1114650.0,446.5,2159.5,1570.0,2735.0,4627.5,0.0,561.5,411.5,1462.0,1462.0,1863.0,910.5,0.0,1019.0
0.0,2.0,8.0,1000000.0,1445769.5,579.1,1927.5,1656.5,2739.0,4633.0,0.0,776.0,730.5,1848.5,1848.5,1305.0,870.0,0.0,0.0
0.0,2.0,16.0,1000000.0,1328454.5,532.1,2291.0,1863.0,2866.0,4803.0,0.0,466.0,215.0,1060.5,1735.5,1361.5,968.0,0.0,1060.5
0.0,2.0,32.0,1000000.0,1177255.5,471.55,6177.0,1891.0,2969.5,5010.5,0.0,679.0,267.0,2080.5,2550.5,768.0,793.5,0.0,851.5
0.0,2.0,48.0,1000000.0,1043398.5,417.9,13097.0,1907.0,2977.0,5543.5,0.0,594.5,378.5,1788.5,2662.5,500.0,612.5,0.0,487.0
