NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
9,0,1,4,3000000,1208871,484.2,1887,1353,2314,3856,0,1791,2271,2947,2947,244,999,0,0
10,0,1,4,3000000,1082846,433.7,2042,1476,2441,4568,0,1431,1807,3022,3022,520,1008,0,0
11,0,1,4,3000000,1151882,461.4,1782,1556,2542,4174,0,1198,1700,2426,2426,1601,929,0,0
12,0,1,4,3000000,1126088,451.0,1834,1534,2593,4420,0,1348,1680,1976,1976,1088,821,0,0
13,0,1,4,3000000,1140100,456.7,1844,1563,2553,4423,0,1366,2040,2740,2740,960,1041,0,0
14,0,1,4,3000000,1194331,478.4,2025,1454,2381,4080,0,1441,1301,3739,3739,813,841,0,0
15,0,1,4,3000000,1189511,476.5,1784,1509,2576,4305,0,1085,1268,2091,2091,1127,730,0,972
16,0,1,4,3000000,1048971,420.2,2054,1553,2544,4345,0,1297,1738,2449,2449,888,735,0,898
17,1,1,4,3000000,1341650,537.4,1611,1483,2374,3707,0,404,245,1176,1589,3586,851,0,794
18,1,1,4,3000000,1287766,515.8,1705,1569,2442,4062,0,292,212,590,1195,3087,941,0,1009
19,1,1,4,3000000,1649601,660.7,1473,1316,2162,3727,0,327,209,692,966,4747,1036,0,960
20,1,1,4,3000000,1414571,566.6,1570,1405,2373,3752,0,363,239,786,2206,3937,831,0,851
21,1,1,4,3000000,1408264,564.1,1561,1378,2416,3814,0,320,227,586,1368,3325,1037,0,872
22,1,1,4,3000000,1439482,576.6,1546,1402,2317,3656,0,285,262,436,801,3868,1033,0,830
24,1,1,4,3000000,1636465,655.5,1742,1153,1783,3245,0,448,202,826,2253,3788,882,0,909
25,1,1,4,3000000,1444906,578.7,1548,1398,2323,3664,0,236,204,399,885,4260,1044,0,864
