NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,0,8,1000000,3.148918,0.000000,10.067114,16.778523,31.281993
2,0,0,8,1000000,3.486462,0.000000,11.185682,16.778523,16.778523
3,0,0,8,1000000,4.002256,0.000000,13.422819,16.778523,30.536913
4,0,0,8,1000000,3.514034,0.000000,11.185682,16.778523,16.778523
5,0,0,8,1000000,2.636361,0.000000,8.389262,15.096833,16.778523
6,0,0,8,1000000,2.632471,0.000000,8.389262,15.155133,16.778523
7,0,0,8,1000000,2.355180,0.000000,6.711409,16.778523,16.778523
8,0,0,8,1000000,2.692622,0.000000,6.711409,16.778523,20.134228
9,1,0,8,1000000,35.901816,40.268456,67.114094,70.469799,73.825503
10,1,0,8,1000000,35.670213,33.557047,67.114094,79.697987,79.697987
11,1,0,8,1000000,37.127633,36.912752,70.469799,83.892617,83.892617
12,1,0,8,1000000,36.495532,40.268456,67.114094,71.308725,83.892617
13,1,0,8,1000000,32.954110,33.557047,67.114094,79.697987,83.892617
14,1,0,8,1000000,38.605091,41.946309,70.469799,79.697987,83.892617
15,1,0,8,1000000,35.493233,33.557047,67.114094,83.892617,88.087248
16,1,0,8,1000000,34.633145,36.912752,70.469799,83.892617,83.892617
