NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,1,8,1000000,1481044,593.2,1949,1667,2751,4682,0,808,810,1345,1345,1310,833,0,0
2,0,1,8,1000000,1583201,634.1,1892,1648,2724,4643,0,534,628,810,810,2004,947,0,1091
3,0,1,16,1000000,1431610,573.4,2378,1736,2687,4487,0,767,567,1607,2129,1476,1110,0,1275
4,0,1,16,1000000,1393405,558.1,2241,1833,2813,4605,0,593,495,1167,1380,1929,1010,2333,1216
5,0,1,32,1000000,1153353,462.0,6053,1927,3092,5072,0,949,637,2176,2526,411,838,1215,594
6,0,1,32,1000000,1175585,470.9,6363,1859,2901,5349,0,837,599,2099,2725,689,721,1808,652
7,0,1,48,1000000,953127,381.8,15345,1952,3012,4943,0,1083,890,2420,2940,386,454,842,371
8,0,1,48,1000000,988263,395.8,13002,1927,2984,4925,0,1091,988,2259,2738,400,686,995,350
9,1,1,8,1000000,1335657,535.0,1914,1714,2802,4920,0,487,380,937,1017,2104,971,0,865
10,1,1,8,1000000,1388123,556.0,1836,1635,2712,4677,0,615,677,1253,1253,1630,959,0,0
11,1,1,16,1000000,1325333,530.9,2023,1757,2641,4471,0,865,738,1825,2081,1394,1096,0,1367
12,1,1,16,1000000,1332038,533.5,2120,1779,2827,6219,0,780,604,1714,1944,1586,1078,0,1412
13,1,1,32,1000000,885330,354.6,5965,1811,2772,5158,0,1369,1000,2842,8164,723,1028,784,777
14,1,1,32,1000000,883597,353.9,6144,1829,2831,5693,0,1254,803,2253,6691,776,1089,1119,745
15,1,1,48,1000000,611384,244.9,5217,1819,2782,4517,0,2463,2264,4484,8693,1011,1039,289,377
16,1,1,48,1000000,536702,215.0,4121,1828,2829,4847,0,2754,2518,5045,10036,795,1027,289,366
