NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99

2,2,1,1,127,58,58,58,149,158,158,158

3,2,1,1,170,79,79,79,135,307,307,307
3,2,1,2,2199,297,310,321,1323,3537,11443,12096
3,2,1,3,634982,32349,57383,232936,620069,1258500,1371744,1476122
3,2,1,4,40467,1743,4194,14594,38331,67315,69531,108542
3,2,1,5,239,58,58,58,137,579,579,579
3,2,2,1,465,465,465,465,465,465,465,465
3,2,2,2,716,716,716,716,716,716,716,716
3,2,2,3,234791,234791,234791,234791,234791,234791,234791,234791
3,2,2,4,23334,23334,23334,23334,23334,23334,23334,23334
3,2,2,5,204,204,204,204,204,204,204,204

4,2,1,1,1493,89,89,89,162,10873,10873,10873
4,2,1,2,1729,445,542,739,1970,3042,3071,3494
4,2,1,3,772600,127741,256921,279651,646188,1616120,1713550,1754173
4,2,1,4,44249,9888,14067,16953,40483,76256,82865,100068
4,2,1,5,203,73,73,73,226,348,348,348





9,2,1,1,260,149,149,153,258,364,365,365
9,2,1,2,3030,413,488,683,3357,5001,5116,8251
9,2,1,3,1157645,275498,376614,440277,1056049,1932807,2086379,2468982
9,2,1,4,60120,13494,25063,26564,60981,92008,101828,118410
9,2,1,5,471,108,108,112,476,850,851,851
9,2,2,1,101,66,66,66,121,127,127,127
9,2,2,2,753,470,470,470,886,941,941,941
9,2,2,3,285198,89592,89592,89592,319243,484824,484824,484824
9,2,2,4,28314,9588,9588,9588,33015,47006,47006,47006



