NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,16,7,7,7,14,29,29,29
1,0,8,1000000,1,2,36508,10,14,19,47,72529,400733,722666
1,0,8,1000000,1,3,542944,76817,315214,331983,540092,716492,861309,911712
1,0,8,1000000,1,4,49678,2145,5330,5470,13931,167967,234317,420619
1,0,8,1000000,2,2,7738,816,816,816,8928,12316,12316,12316
1,0,8,1000000,2,3,280947,118244,118244,118244,318494,467199,467199,467199
1,0,8,1000000,2,4,42084,10695,10695,10695,29799,107631,107631,107631
1,0,8,1000000,4,2,13763,13763,13763,13763,13763,13763,13763,13763
1,0,8,1000000,4,3,190474,190474,190474,190474,190474,190474,190474,190474
1,0,8,1000000,4,4,21576,21576,21576,21576,21576,21576,21576,21576

2,0,8,1000000,1,1,11,6,6,6,11,20,20,20
2,0,8,1000000,1,2,34087,10,14,16,56,76448,250492,498939
2,0,8,1000000,1,3,459688,156605,223029,295146,474050,601951,700354,767680
2,0,8,1000000,1,4,14951,3124,3844,4506,9594,15564,52208,134708
2,0,8,1000000,2,2,13877,11399,11399,11399,14664,15569,15569,15569
2,0,8,1000000,2,3,339029,171099,171099,171099,346491,499497,499497,499497
2,0,8,1000000,2,4,45077,17211,17211,17211,31586,86435,86435,86435
2,0,8,1000000,4,2,6905,196,196,196,13615,13615,13615,13615
2,0,8,1000000,4,3,178799,177949,177949,177949,179650,179650,179650,179650
2,0,8,1000000,4,4,21618,20694,20694,20694,22543,22543,22543,22543

3,0,16,1000000,1,1,9,3,3,3,10,18,18,18
3,0,16,1000000,1,2,10569,8,11,15,25,297,75485,147263
3,0,16,1000000,1,3,880021,266922,404845,439421,786571,1349859,1491111,1637304
3,0,16,1000000,1,4,117588,4100,5271,8878,29015,479943,559309,604370
3,0,16,1000000,2,2,7358,397,397,397,10126,10126,10126,10126
3,0,16,1000000,2,3,248615,114509,114509,114509,271091,439115,439115,439115
3,0,16,1000000,2,4,23320,10654,10654,10654,26219,40634,40634,40634
3,0,16,1000000,4,2,3920,102,102,102,200,11460,11460,11460
3,0,16,1000000,4,3,257617,206483,206483,206483,275964,290405,290405,290405
3,0,16,1000000,4,4,25401,24182,24182,24182,26006,26015,26015,26015

4,0,16,1000000,1,1,22,3,3,3,8,117,117,117
4,0,16,1000000,1,2,4048,7,9,12,27,285,738,76805
4,0,16,1000000,1,3,693467,239358,361067,460577,722863,945134,964504,995354
4,0,16,1000000,1,4,80353,3989,4593,8236,28313,304079,376634,447122
4,0,16,1000000,2,2,11716,6490,6490,6490,10777,17883,17883,17883
4,0,16,1000000,2,3,289064,168256,168256,168256,263048,435889,435889,435889
4,0,16,1000000,2,4,27698,15499,15499,15499,25890,41705,41705,41705
4,0,16,1000000,3,1,4,2,2,2,7,7,7,7
4,0,16,1000000,3,2,71,1,1,2,11,215,466,466
4,0,16,1000000,3,3,217104,82601,82601,108368,211082,343381,352344,352344
4,0,16,1000000,3,4,7207,740,740,835,6430,14338,25185,25185
4,0,16,1000000,4,2,5778,127,127,127,138,15035,15035,15035
4,0,16,1000000,4,3,284475,187331,187331,187331,306566,341389,341389,341389
4,0,16,1000000,4,4,25509,23757,23757,23757,25985,28124,28124,28124

5,0,32,1000000,1,1,15,5,5,7,16,26,37,37
5,0,32,1000000,1,2,3668,10,14,17,43,6107,7282,121791
5,0,32,1000000,1,3,1537731,483869,650721,752056,1621600,2022740,2128138,2277403
5,0,32,1000000,1,4,85733,5442,17200,27970,58855,178439,263911,485890
5,0,32,1000000,2,2,13622,9158,9158,9158,18087,18087,18087,18087
5,0,32,1000000,2,3,296512,264460,264460,264460,328565,328565,328565,328565
5,0,32,1000000,2,4,28814,25361,25361,25361,32268,32268,32268,32268
5,0,32,1000000,3,1,9,4,4,4,4,20,20,20
5,0,32,1000000,3,2,247,3,3,4,13,1088,1838,2195
5,0,32,1000000,3,3,458659,78646,122302,147073,318986,1124866,1156246,1249263
5,0,32,1000000,3,4,13833,2411,2775,5474,8075,24502,33342,75299
5,0,32,1000000,4,2,4474,117,117,123,173,19371,30326,30326
5,0,32,1000000,4,3,456134,208857,208857,228034,429435,708078,722559,722559
