NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,1,8,1000000,local,10
1,2,1,8,1000000,node 0,3

2,2,1,8,1000000,local,11
2,2,1,8,1000000,node 0,3

3,2,1,16,1000000,local,12
3,2,1,16,1000000,node 0,10
3,2,1,16,1000000,node 3,3



6,2,1,16,1000000,local,16
6,2,1,16,1000000,node 0,8
6,2,1,16,1000000,node 3,1

7,2,1,32,1000000,local,27
7,2,1,32,1000000,node 0,14
7,2,1,32,1000000,node 3,14

8,2,1,32,1000000,local,38
8,2,1,32,1000000,node 0,6
8,2,1,32,1000000,node 3,5


10,2,1,48,1000000,local,66
10,2,1,48,1000000,node 0,7
10,2,1,48,1000000,node 3,33



13,2,1,48,1000000,local,74
13,2,1,48,1000000,node 0,10
13,2,1,48,1000000,node 3,22

