NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
1,0,0,1,3000000,785679,314.7,919,1729,3334,0,234,408,435,0,0,0,0
2,0,0,1,3000000,779927,312.4,933,1718,3340,1105824288,246,425,464,0,0,0,0
3,0,0,1,3000000,769022,308.0,954,1752,3366,0,252,467,483,0,1137,0,1001
4,0,0,1,3000000,728351,291.7,980,2018,3563,1319713312,247,336,399,0,1190,0,789
5,0,0,2,3000000,984819,394.5,1302,2435,3940,0,288,627,726,2595,1096,0,1009
6,0,0,2,3000000,876327,351.0,1518,2524,3973,163961376,265,651,1076,2365,1012,0,885
7,0,0,4,3000000,1247441,499.7,1640,2651,4098,702278176,250,561,1032,2609,941,0,908
8,0,0,4,3000000,1286499,515.3,1671,2680,4291,0,375,1149,1371,2237,987,0,891
9,0,0,8,3000000,1392258,557.7,1862,2908,4605,2016533024,221,2085,2475,1344,779,0,946
10,0,0,8,3000000,1272114,509.5,1878,3004,5236,0,205,1786,2320,1383,797,0,902
13,0,0,12,3000000,1218228,488.0,1745,2771,4791,453200416,265,2168,2724,746,1010,0,759
14,0,0,12,3000000,1238411,496.0,1878,2984,5209,1593530912,274,1978,2502,915,931,0,661
16,1,0,1,3000000,822277,329.4,875,1542,3185,914491936,273,493,493,0,1131,0,0
17,1,0,1,3000000,827753,331.6,867,1541,3184,0,319,646,646,0,1119,0,0
19,1,0,2,3000000,1326186,531.2,1033,1552,3191,0,150,392,513,4636,1095,0,1224
20,1,0,2,3000000,1290649,517.0,1067,1678,3332,1687423520,188,413,649,4474,1098,0,1118
21,1,0,4,3000000,2158336,864.5,1139,1640,3166,0,254,468,866,4443,990,0,1049
22,1,0,4,3000000,2169882,869.1,1119,1621,3131,2007865888,170,396,561,4710,1047,0,1148
23,1,0,8,3000000,754309,302.1,1660,2628,4590,982145568,252,1277,5853,4345,1079,0,756
24,1,0,8,3000000,802578,321.5,1365,2254,3786,0,177,440,18770,4238,1065,0,998
25,1,0,12,3000000,538445,215.7,1785,2839,5294,1159825952,733,2746,10351,3817,1138,0,412
26,1,0,12,3000000,546617,218.9,1782,2778,4702,74258976,915,2761,10046,3159,1069,0,415
28,2,0,1,3000000,776682,311.1,930,1758,3374,0,347,736,736,0,1004,0,0
29,2,0,1,3000000,773317,309.7,934,1770,3397,0,344,956,956,0,1023,0,0
30,2,0,2,3000000,921698,369.2,1389,2523,4138,607672864,406,819,873,1946,903,0,951
31,2,0,2,3000000,1053505,422.0,1229,2184,3773,1937762848,409,757,822,2337,1007,0,893
32,2,0,4,3000000,1596678,639.5,1330,2315,3800,1965623840,504,1573,1581,739,785,0,848
33,2,0,4,3000000,1676792,671.6,1306,2135,3554,369044000,1683,2187,2187,1004,814,0,0
34,2,0,8,3000000,1469698,588.7,1589,2593,4105,179251744,408,2706,2913,948,779,0,619
35,2,0,8,3000000,1385840,555.1,1698,2764,4328,0,770,2135,2770,898,844,0,606
37,2,0,12,3000000,601123,240.8,1857,2928,5270,571378208,901,2610,13601,829,850,0,532
38,2,0,12,3000000,591179,236.8,1900,2992,5030,103508480,763,2487,13566,373,932,0,508
