NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
60,0,0,4,3000000,0.800092,0.000000,2.684564,4.148871,7.999458
61,0,0,4,3000000,0.885059,0.000000,2.982849,5.369128,7.981135
62,0,0,8,3000000,0.754502,0.000000,2.684564,4.342677,7.854835
63,0,0,8,3000000,0.843173,0.000000,3.579418,5.369128,8.309364
65,0,0,12,3000000,0.908133,0.000000,2.982849,7.494407,8.501119
66,0,0,12,3000000,1.024269,0.000000,3.579418,8.104343,8.422161
67,1,0,4,3000000,24.652096,13.422819,60.850112,78.299776,81.655481
69,1,0,4,3000000,21.095638,9.843400,54.586130,68.008949,77.181208
70,1,0,8,3000000,28.301081,25.055928,61.521253,73.825503,80.536913
71,1,0,8,3000000,28.623854,25.950783,60.850112,74.944072,81.655481
72,1,0,12,3000000,28.031676,22.371365,62.639821,80.536913,81.655481
73,2,0,4,3000000,0.857685,0.000000,2.684564,4.474273,7.829978
74,2,0,4,3000000,0.782281,0.745712,2.237136,4.148871,6.711409
76,2,0,8,3000000,0.906263,0.000000,2.684564,7.031000,8.053691
77,2,0,8,3000000,0.823074,0.000000,2.684564,4.474273,8.273184
78,2,0,12,3000000,1.198345,0.894855,4.242845,4.474273,7.481571
79,2,0,12,3000000,1.282213,0.894855,4.292883,4.532380,8.408547
