NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
60,0,0,4,3000000,1860468,745.2,1399,1236,1987,3430,0,877,1124,1411,1411,1379,1054,0,0
61,0,0,4,3000000,1550062,620.9,1548,1323,2319,3797,0,642,373,1345,1702,1384,1057,1741,842
62,0,0,8,3000000,1356289,543.3,2044,1733,2773,4396,0,762,434,1857,1954,1206,939,2646,1033
63,0,0,8,3000000,1634627,654.7,2329,1364,2279,3788,0,903,400,2027,2302,591,1015,2494,868
65,0,0,12,3000000,1169661,468.5,4048,1710,2782,5181,0,966,997,1706,2676,795,996,1325,393
66,0,0,12,3000000,1171111,469.1,3965,1730,2764,4623,0,1125,1044,2051,3052,955,1067,1085,459
67,1,0,4,3000000,2139148,856.8,1248,1133,1651,3238,0,272,229,472,514,3989,1121,3279,1336
69,1,0,4,3000000,2173860,870.7,1223,1123,1611,3122,0,282,270,511,652,4174,1113,3303,1284
70,1,0,8,3000000,1050043,420.6,2482,1641,2611,4364,0,758,274,1919,5164,3521,1031,2091,909
71,1,0,8,3000000,1095645,438.9,1595,1404,2322,3970,0,444,216,405,4990,3511,1007,3423,1055
72,1,0,12,3000000,573670,229.8,4201,1767,2824,5665,0,1637,317,4373,14518,2942,1084,1803,611
73,2,0,4,3000000,1706339,683.5,1476,1296,2214,3592,0,744,638,1537,1608,1175,772,0,837
74,2,0,4,3000000,1590117,636.9,1536,1329,2327,3652,0,954,809,1843,1843,898,720,1375,896
76,2,0,8,3000000,1228321,492.0,2816,1420,2425,4248,0,1186,885,2520,3504,554,889,691,676
77,2,0,8,3000000,1282000,513.5,2421,1795,2838,4674,0,1024,852,2388,2642,960,601,1459,835
78,2,0,12,3000000,565569,226.5,4447,1786,2850,4821,0,2680,1618,5593,14136,944,954,469,357
79,2,0,12,3000000,582652,233.4,3033,1706,2811,5088,0,2252,1462,3292,13454,1018,855,265,346
