NO,compactor,current_node_id,thread,ops_per_thread,type,time
29,2,1,1,3000000,local,15
30,2,1,1,3000000,local,14
31,2,1,2,3000000,local,10
31,2,1,2,3000000,node 0,4
32,2,1,2,3000000,local,14
32,2,1,2,3000000,node 0,4
33,2,1,4,3000000,local,1
33,2,1,4,3000000,node 0,5
34,2,1,4,3000000,local,7
34,2,1,4,3000000,node 0,6
35,2,1,8,3000000,local,37
35,2,1,8,3000000,node 0,12
36,2,1,8,3000000,local,52
36,2,1,8,3000000,node 0,14
37,2,1,10,3000000,local,54
37,2,1,10,3000000,node 0,15
38,2,1,10,3000000,local,62
38,2,1,10,3000000,node 0,18
