NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
29,2,1,1,3000000,3.346705,2.918004,3.647505,10.699348,11.672016
30,2,1,1,3000000,3.435975,2.918004,3.890672,11.672016,13.131018
31,2,1,2,3000000,3.879905,2.918004,5.836008,16.535356,18.480693
32,2,1,2,3000000,3.849112,2.918004,3.647505,17.508025,20.426029
33,2,1,4,3000000,5.066495,2.918004,15.319521,29.180041,33.557047
34,2,1,4,3000000,4.949929,2.918004,13.131018,29.180041,35.016049
35,2,1,8,3000000,7.557588,2.918004,29.180041,43.770061,62.737088
36,2,1,8,3000000,10.154285,2.918004,32.098045,67.114094,75.868106
37,2,1,10,3000000,9.213641,2.918004,32.098045,65.655092,81.704114
38,2,1,10,3000000,7.952951,2.918004,31.125377,45.520864,67.114094
