NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
29,2,2,1,3000000,758155,303.7,934,1908,3456,876693824,269,494,498,0,1108,0,1198
30,2,2,1,3000000,743906,298.0,957,1986,3445,2090596672,248,417,460,0,1143,0,976
31,2,2,2,3000000,1285451,514.9,1068,1682,3328,1679292768,186,564,875,4051,984,0,960
32,2,2,2,3000000,1199770,480.6,1097,1904,3368,0,248,652,794,3373,1075,0,675
33,2,2,4,3000000,2001424,801.7,1128,1650,3227,2102131008,703,1541,1541,2616,659,0,0
34,2,2,4,3000000,2041722,817.8,1147,1675,3130,1504250176,422,904,942,2604,767,0,1115
35,2,2,8,3000000,620400,248.5,1674,2737,4723,633350464,329,2994,13641,3087,799,0,428
36,2,2,8,3000000,566904,227.1,1785,2878,6118,1525836096,628,3300,15323,2365,865,0,435
37,2,2,10,3000000,372166,149.1,1777,2861,5412,0,606,2121,25538,2053,1018,0,343
38,2,2,10,3000000,436067,174.7,1685,2796,5360,0,295,4666,14351,2096,931,0,559
