compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,1,1,3000000,793084,318,924,1749,3287,2074943576,293,506,544,0,1082,0,0
0,1,2,3000000,1119969,449,1182,2051,3689,1129910744,406,1596,2150,1154,1020,0,747
0,1,4,3000000,1345000,539,1278,2158,3556,1853106584,1058,2381,3146,1094,820,0,566
0,1,8,3000000,1301842,521,1580,2586,4498,355878560,1452,2638,2787,528,529,0,836
0,1,10,3000000,1225664,491,1506,2475,4670,0,984,2951,3647,685,911,0,572
1,1,1,3000000,815376,327,884,1598,3260,195898552,252,434,497,0,1156,0,1194
1,1,2,3000000,1299418,520,1037,1660,3293,318994320,182,518,668,4564,1092,0,1082
1,1,4,3000000,2145862,860,1128,1662,3176,19223736,282,578,680,3956,885,0,916
1,1,8,3000000,506390,203,1587,2602,4598,892718160,326,2280,24451,2773,889,0,658
1,1,10,3000000,371271,149,1729,2803,5133,0,572,3417,26279,2651,1031,0,334
