NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
8,0,2,1,3000000,745044,298.4,958,1930,3455,1002092896,249,355,438,0,1156,0,760
9,0,2,2,3000000,1210003,484.7,1112,1920,3486,105539936,365,1858,1858,1039,1028,0,0
10,0,2,2,3000000,928669,372.0,1396,2489,3833,1441409344,435,2372,2372,1911,1006,0,755
11,0,2,4,3000000,1218316,488.0,1501,2537,4199,410732864,950,2621,2621,994,989,0,780
13,0,2,4,3000000,1435311,574.9,1271,2072,3528,0,1840,2003,2003,558,946,0,0
14,0,2,8,3000000,1232189,493.5,1527,2480,4000,0,2223,2771,2889,547,604,0,661
15,0,2,8,3000000,1153853,462.2,1542,2534,4843,104720736,2240,3305,3607,730,515,0,853
16,0,2,10,3000000,1284979,514.7,1445,2416,4392,0,2316,3151,3227,657,931,0,833
17,0,2,10,3000000,1062528,425.6,1645,2687,5416,0,536,3235,3953,681,817,0,500
18,1,2,1,3000000,839620,336.3,859,1506,3094,0,267,413,482,0,1177,0,1266
20,1,2,1,3000000,817536,327.5,883,1557,3174,0,257,354,403,0,1124,0,1177
21,1,2,2,3000000,1303971,522.3,1065,1597,3255,1632004448,171,391,732,4038,1086,0,1128
22,1,2,2,3000000,1240118,496.7,1070,1813,3417,0,261,564,888,3747,1118,0,1182
23,1,2,4,3000000,1410117,564.8,1463,2357,3601,1369049440,161,434,1013,3489,866,0,1066
24,1,2,4,3000000,1440587,577.0,1427,2383,3845,1324263776,218,484,1308,3986,611,0,1031
25,1,2,8,3000000,443045,177.5,1749,2819,5754,753064256,378,2143,27346,2790,990,0,482
26,1,2,8,3000000,496087,198.7,1704,2738,4664,0,559,4166,21151,2897,775,0,351
27,1,2,10,3000000,477371,191.2,1728,2765,5584,1111640416,736,4123,13701,2906,855,0,332
28,1,2,10,3000000,437816,175.4,1749,2813,5320,0,1646,4225,16041,2873,1018,0,317
