NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
17,0,5,4,3000000,29.631954,26.262037,57.776481,74.895438,96.294135
18,0,5,4,3000000,35.809618,33.557047,77.327108,102.130143,105.048147
19,0,5,4,3000000,43.446833,45.229063,70.032098,78.786110,90.458127
20,0,5,4,3000000,45.063019,52.524074,79.758778,102.130143,105.048147
21,0,5,4,3000000,47.353351,53.983076,71.977434,81.704114,84.622118
22,0,5,4,3000000,50.742543,52.524074,87.540123,107.966151,110.884155
23,1,5,4,3000000,25.834758,27.721039,40.852057,46.688065,52.524074
24,1,5,4,3000000,28.088413,32.098045,40.852057,45.229063,49.606069
26,1,5,4,3000000,29.344314,32.098045,51.065071,56.414746,59.089583
27,1,5,4,3000000,33.597098,39.393055,49.606069,53.253575,53.983076
