NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,0,4,3000000,37.130840,45.637584,64.429530,81.655481,81.655481
25,2,0,4,3000000,29.796570,33.557047,61.744966,79.418345,81.655481
27,2,0,4,3000000,29.546567,29.530201,65.324385,77.181208,80.536913
28,2,0,4,3000000,34.031887,48.322148,67.561521,73.825503,74.944072
30,2,0,4,3000000,27.385342,23.266219,64.429530,80.536913,81.655481
31,2,0,4,3000000,23.794407,11.185682,59.955257,80.536913,80.536913
32,2,0,4,3000000,25.928565,20.134228,63.534676,77.181208,80.536913
34,2,0,4,3000000,23.441148,4.474273,64.131245,69.798658,69.798658
35,2,0,4,3000000,23.513330,19.686801,56.375839,68.903803,77.181208
36,2,0,4,3000000,23.634002,15.212528,58.165548,68.008949,69.351230
37,2,0,4,3000000,28.859599,26.845638,67.114094,69.798658,69.798658
38,2,0,4,3000000,18.190285,5.219985,57.270694,73.825503,81.655481
39,2,0,4,3000000,25.275946,17.002237,64.266829,81.655481,82.774049
40,2,0,4,3000000,20.901207,8.948546,52.796421,77.181208,80.536913
