NO,compactor,current_node_id,thread,ops_per_thread,type,time
24,2,5,4,3000000,local,0
24,2,5,4,3000000,node 0,9
25,2,5,8,3000000,local,11
25,2,5,8,3000000,node 0,12
27,2,5,8,3000000,local,17
27,2,5,8,3000000,node 0,26
27,2,5,8,3000000,node 1,2
28,2,5,12,3000000,local,35
28,2,5,12,3000000,node 0,38
30,2,5,12,3000000,local,33
30,2,5,12,3000000,node 0,36
30,2,5,12,3000000,node 1,2
31,2,5,16,3000000,local,142
31,2,5,16,3000000,node 0,58
31,2,5,16,3000000,node 1,1
32,2,5,16,3000000,local,82
32,2,5,16,3000000,node 0,62
32,2,5,16,3000000,node 3,1
34,2,5,16,3000000,local,168
34,2,5,16,3000000,node 0,24
35,2,5,16,3000000,local,154
35,2,5,16,3000000,node 0,21
35,2,5,16,3000000,node 3,1
36,2,5,12,3000000,local,69
36,2,5,12,3000000,node 0,19
37,2,5,12,3000000,local,49
37,2,5,12,3000000,node 0,21
38,2,5,12,3000000,local,68
38,2,5,12,3000000,node 0,19
38,2,5,12,3000000,node 1,1
39,2,5,8,3000000,local,23
39,2,5,8,3000000,node 0,9
39,2,5,8,3000000,node 1,1
40,2,5,8,3000000,local,45
40,2,5,8,3000000,node 0,15
