NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
24,2,2,4,3000000,1933504,774.5,1183,1864,3368,1550543168,688,1377,1377,1975,685,0,0
25,2,2,8,3000000,932773,373.6,1702,2785,5279,0,701,2029,6318,901,738,0,629
27,2,2,8,3000000,833507,333.9,1747,2855,5865,0,382,2701,6522,2177,678,907,791
28,2,2,12,3000000,682650,273.4,1812,2857,5183,694409568,587,4055,6351,2492,440,839,611
30,2,2,12,3000000,786899,315.2,1809,2878,5004,749492576,587,2366,7102,2306,879,1163,570
31,2,2,16,3000000,684394,274.1,1825,2875,5173,0,565,2612,5750,2041,967,741,450
32,2,2,16,3000000,701444,281.0,1815,2881,5045,0,580,3523,6558,2304,975,714,540

v2是对level1创造case3，且case3case4直接分配给自己做的方案
39,2,2,8,3000000,1435837,575.1,1638,2756,5205,0,1145,1665,2191,3558,674,995,436
40,2,2,8,3000000,1229848,492.6,1753,2813,4914,0,452,1777,2552,2515,962,1344,781
36,2,2,12,3000000,1071025,429.0,1740,2827,6036,0,343,1418,4346,2523,975,972,657
37,2,2,12,3000000,859000,344.1,1732,2852,6182,1008240960,373,1494,5506,2705,936,1139,705
38,2,2,12,3000000,997145,399.4,1809,2917,6150,0,450,1800,4788,2774,975,901,568
34,2,2,16,3000000,717936,287.6,1799,2886,5360,0,800,2699,5922,2313,1050,680,313
35,2,2,16,3000000,778480,311.8,1819,2861,4845,862112064,690,2951,6247,2538,858,733,359
