NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,1,8,1000000,local,5
1,2,1,8,1000000,node 0,7
1,2,1,8,1000000,node 3,1

2,2,1,8,1000000,local,10
2,2,1,8,1000000,node 0,4


4,2,1,16,1000000,local,10
4,2,1,16,1000000,node 0,11
4,2,1,16,1000000,node 3,2

5,2,1,16,1000000,local,7
5,2,1,16,1000000,node 0,9
5,2,1,16,1000000,node 3,3

7,2,1,16,1000000,local,11
7,2,1,16,1000000,node 0,8
7,2,1,16,1000000,node 3,2

8,2,1,32,1000000,local,22
8,2,1,32,1000000,node 0,5
8,2,1,32,1000000,node 3,19

9,2,1,32,1000000,local,29
9,2,1,32,1000000,node 0,7
9,2,1,32,1000000,node 3,16

10,2,1,48,1000000,local,40
10,2,1,48,1000000,node 0,8
10,2,1,48,1000000,node 3,48







16,2,1,48,1000000,local,49
16,2,1,48,1000000,node 0,8
16,2,1,48,1000000,node 3,43



























