NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99









10,1,1,1,93,48,48,62,84,173,173,173
10,1,1,2,65689,11895,12006,14182,50794,146950,157144,159029
10,1,1,3,1010115,299970,346872,500624,774040,1934810,2118654,2162658
10,1,1,4,57993,20417,32737,35250,45466,110075,112938,116435
10,1,1,5,139,90,90,90,142,201,201,201
10,1,2,1,45,33,33,33,47,54,54,54
10,1,2,2,8641,5235,5235,5235,8995,13971,13971,13971
10,1,2,3,291743,126517,126517,126517,267241,536861,536861,536861
10,1,2,4,28116,11650,11650,11650,28250,55681,55681,55681
10,1,2,5,37,21,21,21,43,48,48,48

11,1,1,1,96,48,48,63,96,136,136,136
11,1,1,2,61734,11151,14312,15082,52440,137579,141574,147089
11,1,1,3,957739,311194,329312,342892,767124,2140975,2322727,2391925
11,1,1,4,52748,9670,18956,19085,39727,101980,114352,115439
11,1,1,5,147,88,88,88,154,196,196,196
11,1,2,1,54,36,36,36,56,68,68,68
11,1,2,2,10872,6387,6387,6387,11328,19784,19784,19784
11,1,2,3,427399,120422,120422,120422,388600,1029618,1029618,1029618
11,1,2,4,36656,13268,13268,13268,31721,85100,85100,85100
11,1,2,5,42,29,29,29,35,79,79,79

12,1,1,1,143,53,53,67,112,302,324,324
12,1,1,2,38602,9618,12968,17421,35767,64980,67851,75461
12,1,1,3,786962,228638,279883,305806,764473,1372629,1408825,1461399
12,1,1,4,48940,12839,16238,19460,46157,78114,87921,102093
12,1,1,5,183,82,82,83,167,304,315,315
12,1,2,1,91,24,24,25,45,470,470,470
12,1,2,2,12741,5621,5621,9158,11695,27330,27330,27330
12,1,2,3,298917,89677,89677,93476,303566,790951,790951,790951
12,1,2,4,29383,9681,9681,9794,28963,76482,76482,76482
12,1,2,5,40,19,19,26,33,80,80,80
12,1,3,1,45,26,26,26,37,82,82,82
12,1,3,2,4,0,0,1,4,8,12,12
12,1,3,3,220973,31741,31741,135385,242243,304613,377095,377095
12,1,3,4,14314,1768,1768,4938,15687,21812,30466,30466
12,1,3,5,52,38,38,38,52,71,71,71
12,1,4,1,34,14,14,15,33,59,60,60
12,1,4,2,5400,2366,2366,2382,5327,8303,8924,8924
12,1,4,3,175889,65493,65493,110153,180343,219534,270928,270928
12,1,4,4,19545,8219,8219,13489,20648,24703,28367,28367
12,1,4,5,80,17,17,21,30,41,635,635

13,1,1,1,123,59,59,62,96,207,295,295
13,1,1,2,38761,9412,13737,14308,33464,65434,78705,112331
13,1,1,3,858310,91969,239403,304049,782362,1547393,1607104,1908832
13,1,1,4,53658,3658,16372,20585,50815,85676,97994,121889
13,1,1,5,264,75,75,79,142,248,2105,2105
13,1,2,1,62,15,15,15,60,118,118,118
13,1,2,2,11820,7146,7146,7146,12474,17103,17103,17103
13,1,2,3,347844,103853,103853,103853,273787,731751,731751,731751
13,1,2,4,33713,10064,10064,10064,27484,67567,67567,67567
13,1,2,5,31,17,17,17,32,51,51,51
13,1,3,1,76,40,40,40,113,113,113,113
13,1,3,2,5,1,1,1,6,10,10,10
13,1,3,3,249982,156167,156167,156167,184080,375489,375489,375489
13,1,3,4,21750,6772,6772,6772,17916,37235,37235,37235
