compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0.0,0.0,8.0,1000000.0,1180613.0,472.85,2269.5,1745.0,2806.0,5117.5,0.0,537.5,585.0,868.5,1106.5,1784.5,1038.5,0.0,1158.5
0.0,0.0,16.0,1000000.0,1030026.5,412.6,3694.0,1844.5,3031.5,6307.0,0.0,1250.0,1062.5,2773.5,2906.5,1251.5,881.0,0.0,1403.0
0.0,0.0,32.0,1000000.0,743260.0,297.7,11150.5,1893.0,3060.5,6874.5,0.0,1514.5,1147.5,3710.5,4083.5,324.0,483.5,728.5,389.5
0.0,0.0,48.0,1000000.0,673380.0,269.75,4534.0,1880.0,2975.5,5894.0,0.0,1631.0,1457.5,3839.0,4908.5,304.5,295.0,719.0,278.5
0.0,0.0,64.0,1000000.0,611544.5,244.95,13441.0,1883.0,2945.5,5463.0,0.0,1905.0,1741.0,4180.5,5726.0,323.0,159.5,668.0,322.5

1.0,0.0,8.0,1000000.0,1280002.5,512.65,1991.5,1705.0,2663.5,4879.0,0.0,547.5,460.0,1169.5,1197.0,1967.0,1149.5,0.0,1374.0
1.0,0.0,16.0,1000000.0,1263699.5,506.15,2398.0,1777.5,2807.5,4908.0,0.0,758.5,560.5,1698.5,1903.5,1645.0,1074.0,2604.5,1391.5
1.0,0.0,32.0,1000000.0,855969.0,342.85,5350.0,1865.0,2995.5,6745.5,0.0,1247.0,852.5,2374.5,7412.5,825.0,954.0,1043.0,654.5
1.0,0.0,48.0,1000000.0,537586.5,215.35,5242.5,1877.5,2956.5,5508.5,0.0,1722.5,1453.5,2767.5,9299.0,674.0,955.5,651.0,414.5
