NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99

2,2,8,1000000,4,1,30,30,30,30,30,30,30,30
2,2,8,1000000,4,2,158934,158934,158934,158934,158934,158934,158934,158934
2,2,8,1000000,4,3,49,49,49,49,49,49,49,49

3,2,16,1000000,3,1,64,64,64,64,64,64,64,64
3,2,16,1000000,3,2,855067,855067,855067,855067,855067,855067,855067,855067
3,2,16,1000000,3,3,42,42,42,42,42,42,42,42

4,2,16,1000000,3,1,97,82,82,82,87,136,136,136
4,2,16,1000000,3,2,335725,245060,245060,245060,391809,427187,427187,427187
4,2,16,1000000,3,3,44,30,30,30,47,66,66,66
4,2,16,1000000,4,1,55,21,21,21,89,89,89,89
4,2,16,1000000,4,2,184457,142687,142687,142687,226227,226227,226227,226227
4,2,16,1000000,4,3,18,16,16,16,21,21,21,21


6,2,32,1000000,3,1,53,33,33,33,58,62,62,62
6,2,32,1000000,3,2,392529,295218,295218,295218,362362,538945,538945,538945
6,2,32,1000000,3,3,46,28,28,28,48,69,69,69
6,2,32,1000000,4,1,49,23,23,23,27,98,98,98
6,2,32,1000000,4,2,271635,151170,151170,151170,234437,457950,457950,457950
6,2,32,1000000,4,3,26,13,13,13,19,71,71,71

7,2,32,1000000,3,1,53,40,40,40,66,66,66,66
7,2,32,1000000,3,2,394291,344932,344932,344932,443651,443651,443651,443651
7,2,32,1000000,3,3,53,40,40,40,67,67,67,67
7,2,32,1000000,4,1,52,18,18,27,52,82,111,111
7,2,32,1000000,4,2,266942,182959,182959,190950,259813,327190,430515,430515
7,2,32,1000000,4,3,31,15,15,21,26,50,73,73

8,2,48,1000000,3,1,1262,20,20,23,46,6616,14030,14030
8,2,48,1000000,3,2,580601,192295,192295,230859,471550,1113466,1859353,1859353
8,2,48,1000000,3,3,51,32,32,35,49,71,112,112
8,2,48,1000000,4,1,685,16,19,20,31,1020,3964,11915
8,2,48,1000000,4,2,376315,100832,138300,145094,246651,445923,1944001,1992361
8,2,48,1000000,4,3,28,15,16,16,25,53,56,72

9,2,48,1000000,3,1,972,29,29,29,46,7474,7474,7474
9,2,48,1000000,3,2,382972,233601,233601,233601,451758,498587,498587,498587
9,2,48,1000000,3,3,40,28,28,28,38,55,55,55
9,2,48,1000000,4,1,11927,14,23,25,37,77,539,273027
9,2,48,1000000,4,2,320899,33159,148827,170483,291031,470056,503676,802955
9,2,48,1000000,4,3,74,7,20,21,29,39,45,1099

10,2,64,1000000,3,1,8403,36,36,41,65,6472,143685,143685
10,2,64,1000000,3,2,884404,242060,242060,364396,693184,1876023,2723667,2723667
10,2,64,1000000,3,3,161,35,35,43,69,177,1602,1602
10,2,64,1000000,4,1,10035,21,21,23,48,92,13212,293658
10,2,64,1000000,4,2,369336,113671,122328,178938,274777,443695,770595,2918417
10,2,64,1000000,4,3,29,12,16,17,26,44,59,92


12,2,64,1000000,3,1,16227,31,33,36,59,5364,11984,320713
12,2,64,1000000,3,2,1226365,227553,237022,259563,381294,3731813,4143845,4211761
12,2,64,1000000,3,3,69,33,33,33,59,115,121,159
12,2,64,1000000,4,1,1554,15,21,21,36,112,11135,25160
12,2,64,1000000,4,2,277232,87070,127331,128339,219990,404563,990378,1012233
12,2,64,1000000,4,3,23,14,15,17,23,31,33,34

