NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99

2,2,8,1000000,4,1,31,31,31,31,31,31,31,31
2,2,8,1000000,4,2,1477,1477,1477,1477,1477,1477,1477,1477
2,2,8,1000000,4,3,131343,131343,131343,131343,131343,131343,131343,131343
2,2,8,1000000,4,4,13994,13994,13994,13994,13994,13994,13994,13994
2,2,8,1000000,4,5,28,28,28,28,28,28,28,28

3,2,8,1000000,3,1,22322,22322,22322,22322,22322,22322,22322,22322
3,2,8,1000000,3,2,117417,1591,1591,1591,167076,183585,183585,183585
3,2,8,1000000,3,3,426887,385910,385910,385910,467864,467864,467864,467864
3,2,8,1000000,3,4,58041,22512,22512,22512,93571,93571,93571,93571







10,2,8,1000000,4,1,37552,37552,37552,37552,37552,37552,37552,37552
10,2,8,1000000,4,2,19244,19244,19244,19244,19244,19244,19244,19244
10,2,8,1000000,4,3,298370,298370,298370,298370,298370,298370,298370,298370
10,2,8,1000000,4,4,10897,10897,10897,10897,10897,10897,10897,10897
10,2,8,1000000,4,5,22,22,22,22,22,22,22,22


12,2,8,1000000,4,1,30,30,30,30,30,30,30,30
12,2,8,1000000,4,2,13124,13124,13124,13124,13124,13124,13124,13124
12,2,8,1000000,4,3,157227,157227,157227,157227,157227,157227,157227,157227
12,2,8,1000000,4,4,19378,19378,19378,19378,19378,19378,19378,19378
12,2,8,1000000,4,5,26,26,26,26,26,26,26,26

