NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,1,8,1000000,47.534938,54.530201,75.503356,100.671141,100.671141
2,2,1,8,1000000,53.767951,67.114094,83.892617,92.281879,92.281879
3,2,1,8,1000000,49.898182,60.822148,83.892617,92.281879,92.281879
4,2,1,8,1000000,53.129336,67.114094,75.503356,92.281879,92.281879
6,2,1,8,1000000,46.381584,54.530201,67.114094,83.892617,125.838926
7,2,1,8,1000000,50.884796,65.016779,73.406040,77.600671,86.689038
8,2,1,8,1000000,44.399204,58.724832,75.503356,83.892617,92.281879
9,2,1,8,1000000,44.206401,50.335570,75.503356,83.892617,83.892617
10,2,1,8,1000000,41.636271,52.432886,69.910515,88.087248,96.476510
12,2,1,8,1000000,41.795835,50.335570,75.503356,83.892617,83.892617
