NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,2,1,8,1000000,1177483,471.6,2031,1692,2755,5311,0,537,396,1132,1281,1723,1179,0,1372
2,2,1,8,1000000,1244068,498.3,2006,1642,2654,4516,0,586,475,1070,1169,1815,1166,0,1238
3,2,1,8,1000000,1228435,492.0,2047,1689,2687,4622,0,433,447,726,974,2220,1075,1648,1101
4,2,1,8,1000000,1221474,489.3,1987,1664,2674,4790,0,474,419,773,1239,2018,1139,1495,1319
6,2,1,8,1000000,1232184,493.5,2044,1666,2714,5152,0,374,378,694,748,2645,1210,0,1311
7,2,1,8,1000000,1228754,492.2,1962,1628,2618,4725,0,354,370,525,728,2605,1201,1687,883
8,2,1,8,1000000,1238369,496.0,1951,1661,2645,4550,0,333,362,564,600,2721,1265,2070,1327
9,2,1,8,1000000,1260912,505.0,2029,1619,2642,4572,0,613,819,1412,1412,1655,1179,0,0
10,2,1,8,1000000,1265097,506.7,1992,1606,2626,4565,0,540,506,990,1158,2117,1200,0,1028
12,2,1,8,1000000,1241524,497.3,2028,1656,2697,5298,0,534,439,1134,1525,1997,1246,0,704
