compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,1,1,11346,40,55,60,125,2490,142044,181320
1,1,2,1959,304,364,460,1221,4192,6923,10805
1,1,3,3899926,217038,297084,361147,1463436,12780268,14925234,17003074
1,1,4,280472,11190,20514,24504,94253,840275,1528819,2248072
1,1,5,502,69,93,97,231,643,2871,4824

1,2,1,58,23,23,23,58,109,109,109
1,2,2,545,211,211,211,489,983,983,983
1,2,3,350236,127603,127603,127603,336413,673832,673832,673832
1,2,4,33813,12836,12836,12836,33242,63228,63228,63228
1,2,5,80,22,22,22,31,485,485,485

1,3,1,31232,17,17,18,37,85,324837,616710
1,3,2,134,0,1,1,7,22,343,7075
1,3,3,1126980,39523,108142,242910,973954,2298839,2513736,3272011
1,3,4,101358,1567,6625,8288,28672,422021,661119,783195
1,3,5,233,51,54,55,80,111,119,4108

1,4,1,38560,9,11,11,21,151013,340848,406605
1,4,2,137,13,29,47,87,249,264,1211
1,4,3,922882,59959,109343,184167,853759,1735798,2069089,2667277
1,4,4,136548,7054,10579,13232,34657,646807,723475,1233930
1,4,5,123,19,22,24,32,49,167,3480
