NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99



4,1,1,1,135,35,44,49,140,249,273,325
4,1,1,2,1947,307,359,430,1233,4513,5781,14708
4,1,1,3,3576140,234078,263255,302328,1071755,12766996,13884255,16705876
4,1,1,4,240384,9526,19585,22632,74797,824109,1463790,2160093
4,1,1,5,927,39,71,72,208,1021,7601,12533
4,1,2,1,53,20,20,20,65,101,101,101
4,1,2,2,543,229,229,229,459,958,958,958
4,1,2,3,354633,154016,154016,154016,364418,599577,599577,599577
4,1,2,4,35128,14480,14480,14480,37344,63136,63136,63136
4,1,2,5,29,21,21,21,33,37,37,37
4,1,3,1,23422,17,17,18,34,60,62,654851
4,1,3,2,326,0,0,1,7,25,976,16888
4,1,3,3,1102251,86238,109147,139873,1015287,2256125,2506227,3238655
4,1,3,4,135201,3139,9517,11420,32794,611043,688784,780045
4,1,3,5,544,54,57,58,78,134,135,12100
4,1,4,1,24,9,11,11,24,47,51,71
4,1,4,2,119,10,17,35,87,241,257,459
4,1,4,3,812828,48455,57099,84242,755669,1683425,2324254,2611841
4,1,4,4,114911,4707,5860,6256,25480,591033,755059,789724
4,1,4,5,31,17,18,21,33,41,48,50

5,1,1,1,33785,40,60,67,117,7065,425691,543450
5,1,1,2,2310,302,396,443,1268,5004,9785,10972
5,1,1,3,3951697,185684,328019,379394,1561628,12498743,14662197,17018297
5,1,1,4,316840,11914,21380,25645,105830,913728,1643716,2195719
5,1,1,5,281,75,89,97,240,426,492,945
5,1,2,1,69,30,30,30,66,111,111,111
5,1,2,2,646,225,225,225,685,1148,1148,1148
5,1,2,3,304239,93017,93017,93017,297994,567829,567829,567829
5,1,2,4,29186,9594,9594,9594,28797,52289,52289,52289
5,1,2,5,30,20,20,20,28,48,48,48
5,1,3,1,45288,15,17,17,35,101,500494,721326
5,1,3,2,9,0,0,1,8,23,27,71
5,1,3,3,1082832,14263,109217,122834,921594,2234307,2581572,3249827
5,1,3,4,68211,723,5387,7053,25164,71249,580674,809003
5,1,3,5,76,49,56,56,81,100,101,103
5,1,4,1,51460,9,11,11,20,96,548974,686432
5,1,4,2,119,15,17,30,91,257,276,399
5,1,4,3,974897,45274,86202,151988,857259,1822435,2022065,2997396
5,1,4,4,136707,5193,11262,13442,38313,584556,630366,1378882
5,1,4,5,191,17,24,27,31,57,370,5779

6,1,1,1,117,45,61,65,118,157,168,184
6,1,1,2,1621,303,336,506,1163,3059,5204,6736
6,1,1,3,4171941,231353,299978,401719,1756926,13075064,16229251,17285048
6,1,1,4,284191,12129,20576,25235,102133,782987,1478952,2388403
6,1,1,5,297,94,119,121,244,483,519,994
6,1,2,1,51,19,19,19,42,116,116,116
6,1,2,2,447,179,179,179,324,844,844,844
6,1,2,3,391837,135777,135777,135777,346827,854089,854089,854089
6,1,2,4,37124,14433,14433,14433,33584,74259,74259,74259
6,1,2,5,182,25,25,25,33,1371,1371,1371
6,1,3,1,24985,18,18,18,41,94,473954,473954
6,1,3,2,67,0,1,1,7,19,27,4265
6,1,3,3,1195858,18068,106061,466024,984981,2406086,2453410,3327551
6,1,3,4,100662,840,4972,6390,28059,583772,713899,760538
6,1,3,5,78,49,49,52,80,98,120,120
6,1,4,1,64197,9,11,11,20,452896,473518,533311
6,1,4,2,172,13,52,75,82,249,258,2774
6,1,4,3,980920,86149,184727,316271,948350,1701534,1860949,2392595
6,1,4,4,158025,11263,14615,19999,40179,764831,784999,1533185
6,1,4,5,147,22,24,25,33,48,82,4611

