compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
0,32,1000000,1,1,6,2,2,3,5,12,18,18
0,32,1000000,1,2,17086,10,14,18,55,32198,102297,333347
0,32,1000000,1,3,2635707,712772,1022419,1297404,2969121,3443187,3531175,3613809
0,32,1000000,1,4,162122,34713,79247,90631,147614,255856,275762,407653
0,32,1000000,2,2,28477,23208,23208,23208,33747,33747,33747,33747
0,32,1000000,2,3,504586,483874,483874,483874,525297,525297,525297,525297
0,32,1000000,2,4,51689,51622,51622,51622,51756,51756,51756,51756
0,32,1000000,3,1,5,2,2,2,4,12,12,12
0,32,1000000,3,2,899,1,2,2,15,2391,8495,13416
0,32,1000000,3,3,719083,189074,282670,361852,718231,1119710,1246050,1326494
0,32,1000000,3,4,83670,5827,7225,13179,51370,200380,269238,316564
0,32,1000000,4,2,2887,118,121,125,182,6119,8362,45374
0,32,1000000,4,3,796230,337007,396283,435865,776752,1199580,1283867,1298157
0,32,1000000,4,4,117461,28313,31651,36479,97687,248176,313026,327537





1,32,1000000,1,1,2008,31,31,39,181,4199,20936,20936
1,32,1000000,1,2,3733316,307841,307841,444234,1434397,14272083,16766433,16766433
1,32,1000000,1,3,627,36,36,46,187,1244,4712,4712
1,32,1000000,2,1,200,16,16,16,31,859,859,859
1,32,1000000,2,2,345284,146252,146252,146252,380566,552061,552061,552061
1,32,1000000,2,3,22,15,15,15,25,30,30,30
1,32,1000000,3,1,89,33,33,40,81,154,193,193
1,32,1000000,3,2,1765654,238689,238689,377854,2012748,3257010,3310922,3310922
1,32,1000000,3,3,41,21,21,23,36,84,91,91
1,32,1000000,4,1,1116,16,16,20,31,158,16778,16778
1,32,1000000,4,2,1144585,77630,77630,201734,1276760,1949240,2318709,2318709
1,32,1000000,4,3,38,10,10,13,27,77,154,154
