NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,32,1000000,1,1,20,3,3,4,6,152,152,152
1,0,32,1000000,1,2,91510,18,22,25,52,605916,792960,1237556
1,0,32,1000000,1,3,3058426,1667157,1765357,1992474,3151351,3627037,3741166,3945731
1,0,32,1000000,1,4,186124,70484,91892,98928,153771,376340,416498,586764
1,0,32,1000000,2,2,20821,13168,13168,13168,28475,28475,28475,28475
1,0,32,1000000,2,3,1051366,418474,418474,418474,1684258,1684258,1684258,1684258
1,0,32,1000000,2,4,73981,20739,20739,20739,127223,127223,127223,127223
1,0,32,1000000,3,1,6,3,3,3,5,14,14,14
1,0,32,1000000,3,2,2787,1,1,1,16,10942,12176,12176
1,0,32,1000000,3,3,985668,324014,324014,577787,1074878,1385672,1586229,1586229
1,0,32,1000000,3,4,105225,22246,22246,26470,80230,207301,401071,401071
1,0,32,1000000,4,2,2161,112,120,121,164,1418,1642,51158
1,0,32,1000000,4,3,880594,279760,286740,288443,941535,1459736,1511242,1575260
1,0,32,1000000,4,4,111887,14752,17671,18283,88931,263329,379569,415551

2,0,32,1000000,1,1,9,4,4,4,6,32,32,32
2,0,32,1000000,1,2,45861,24,25,26,63,223558,234864,821147
2,0,32,1000000,1,3,3066916,1889032,2076587,2392323,3108913,3599254,4082982,4361450
2,0,32,1000000,1,4,193379,43878,47641,73111,142680,330832,419834,1319684
2,0,32,1000000,2,2,19681,14683,14683,14683,24680,24680,24680,24680
2,0,32,1000000,2,3,1096624,431869,431869,431869,1761379,1761379,1761379,1761379
2,0,32,1000000,2,4,99974,21715,21715,21715,178234,178234,178234,178234
2,0,32,1000000,3,1,9,2,2,2,9,33,33,33
2,0,32,1000000,3,2,773,1,1,1,15,2271,3855,12608
2,0,32,1000000,3,3,829157,403363,406038,426595,810899,1153723,1491578,1519395
2,0,32,1000000,3,4,216615,6310,12603,13964,88508,905879,1310927,1310937
2,0,32,1000000,4,2,19733,109,109,122,288,16849,311122,311122
2,0,32,1000000,4,3,800066,139563,139563,410994,798190,1194526,1231368,1231368
2,0,32,1000000,4,4,262626,7917,7917,23756,180556,1049072,1181458,1181458

3,0,32,1000000,1,1,7,3,3,4,6,26,26,26
3,0,32,1000000,1,2,38974,11,18,22,61,232431,533132,533208
3,0,32,1000000,1,3,2812645,867034,1454669,1604016,3101693,3424218,3549048,3553734
3,0,32,1000000,1,4,184549,36025,56610,65540,129688,315059,663897,1397555
3,0,32,1000000,2,2,9803,9803,9803,9803,9803,9803,9803,9803
3,0,32,1000000,2,3,808839,808839,808839,808839,808839,808839,808839,808839
3,0,32,1000000,2,4,36141,36141,36141,36141,36141,36141,36141,36141
3,0,32,1000000,3,1,6,3,3,3,4,14,14,14
3,0,32,1000000,3,2,1052,1,1,2,10,44,3592,26649
3,0,32,1000000,3,3,765558,283965,404350,480212,637488,1334672,1395516,1428557
3,0,32,1000000,3,4,68251,6670,6680,8976,47768,199545,234037,236379
3,0,32,1000000,4,2,4114,121,121,121,213,2798,6465,86560
3,0,32,1000000,4,3,962299,244892,302471,414638,961776,1366959,1427267,1461456
3,0,32,1000000,4,4,142851,13977,21103,23828,152889,291485,308030,323594

4,1,32,1000000,1,1,18751,55,55,71,207,79489,109443,109443
4,1,32,1000000,1,2,4234647,316817,316817,352604,1557257,14083670,17812350,17812350
4,1,32,1000000,1,3,500,40,40,50,254,724,3435,3435
4,1,32,1000000,2,1,34343,20,20,20,3792,99218,99218,99218
4,1,32,1000000,2,2,431468,228344,228344,228344,401549,664511,664511,664511
4,1,32,1000000,2,3,212,20,20,20,38,580,580,580
4,1,32,1000000,3,1,106,39,39,45,86,262,262,262
4,1,32,1000000,3,2,2650561,269532,269532,269532,2714165,4708100,4708100,4708100
4,1,32,1000000,3,3,54,28,28,28,57,89,89,89
4,1,32,1000000,4,1,30,12,12,12,24,65,95,95
4,1,32,1000000,4,2,774546,55250,55250,160852,761530,1358059,2685393,2685393
4,1,32,1000000,4,3,24,6,6,12,23,39,39,39

5,1,32,1000000,1,1,23062,58,58,84,230,120615,157947,157947
5,1,32,1000000,1,2,5267398,465192,465192,511069,2441598,14714391,18689395,18689395
5,1,32,1000000,1,3,2316,43,43,49,562,7075,13239,13239
5,1,32,1000000,2,1,26172,16,16,16,4244,118631,118631,118631
5,1,32,1000000,2,2,347185,108954,108954,108954,327968,638821,638821,638821
5,1,32,1000000,2,3,56,11,11,11,38,119,119,119
5,1,32,1000000,3,1,98,23,23,43,121,200,200,200
5,1,32,1000000,3,2,1567280,230182,230182,230182,1608824,3317005,3317005,3317005
5,1,32,1000000,3,3,57,31,31,31,40,148,148,148
5,1,32,1000000,4,1,6191,18,21,22,36,105,148,129045
5,1,32,1000000,4,2,1425174,166159,339443,350978,1645050,2545881,2586980,2586980
5,1,32,1000000,4,3,30,13,16,17,27,52,105,105

6,1,32,1000000,1,1,418,57,57,90,210,441,2589,2589
6,1,32,1000000,1,2,5824039,821874,821874,945197,2775299,16506708,19273649,19273649
6,1,32,1000000,1,3,411,52,52,85,547,671,804,804
6,1,32,1000000,2,1,25834,21,21,21,47,129026,129026,129026
6,1,32,1000000,2,2,508157,217587,217587,217587,472770,937851,937851,937851
6,1,32,1000000,2,3,27,17,17,17,28,41,41,41
6,1,32,1000000,3,1,747,28,28,28,113,3346,3346,3346
6,1,32,1000000,3,2,1887521,1500260,1500260,1500260,1862955,2467742,2467742,2467742
6,1,32,1000000,3,3,72,42,42,42,88,93,93,93
6,1,32,1000000,4,1,56,17,18,18,41,111,153,153
6,1,32,1000000,4,2,1543275,357024,357024,384515,1644686,2667891,3947284,3947284
6,1,32,1000000,4,3,67,17,17,21,45,157,330,330

