NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,3,1,3000000,9.910816,9.151922,15.253203,18.303844,18.303844
2,0,3,1,3000000,10.364175,12.202563,14.490543,16.270083,16.270083
3,0,3,1,3000000,8.486713,6.101281,15.253203,18.303844,18.303844
4,0,3,1,3000000,11.001204,11.185682,16.778523,24.405125,24.405125
5,0,3,2,3000000,16.932079,15.253203,33.557047,42.708969,42.708969
6,0,3,2,3000000,17.686768,15.253203,35.082367,51.098231,53.894651
7,0,3,4,3000000,27.177449,24.405125,51.860891,85.417938,91.519219
8,0,3,4,3000000,28.627152,23.388245,53.894651,76.266016,79.316656
9,0,3,8,3000000,44.920099,48.810250,70.164735,93.044539,106.772422
10,0,3,8,3000000,46.536341,51.860891,70.164735,82.367297,88.468578
13,0,3,12,3000000,46.037918,48.810250,73.215375,85.417938,103.721782
14,0,3,12,3000000,50.456644,51.860891,76.266016,106.772422,112.873703
16,1,3,1,3000000,8.285153,9.151922,12.202563,18.303844,18.303844
17,1,3,1,3000000,8.870813,7.626602,14.490543,18.303844,21.354484
19,1,3,2,3000000,11.038613,10.677242,18.303844,24.405125,24.405125
20,1,3,2,3000000,11.512241,12.202563,15.253203,18.303844,21.354484
21,1,3,4,3000000,17.401363,19.829164,25.422005,36.607688,36.607688
22,1,3,4,3000000,15.818661,18.303844,22.879805,30.506406,32.031727
23,1,3,8,3000000,17.297595,9.151922,36.607688,45.759610,61.012813
24,1,3,8,3000000,15.786248,9.151922,34.319707,39.658328,47.284930
25,1,3,12,3000000,19.170595,6.101281,44.234289,59.487492,70.164735
26,1,3,12,3000000,19.305947,7.626602,45.759610,57.962172,64.063453
27,2,3,1,3000000,7.979244,6.101281,15.253203,16.270083,18.303844
28,2,3,1,3000000,10.654535,11.439902,18.303844,21.354484,22.117145
29,2,3,1,3000000,10.113161,10.677242,15.253203,18.303844,21.354484
30,2,3,2,3000000,13.191616,12.202563,24.405125,36.607688,37.370348
31,2,3,2,3000000,21.115126,16.270083,47.284930,64.063453,64.063453
32,2,3,4,3000000,33.312012,28.472646,62.538133,85.417938,85.417938
33,2,3,4,3000000,25.544167,21.354484,57.962172,76.266016,88.468578
34,2,3,8,3000000,43.356904,45.759610,67.114094,77.791336,89.993899
35,2,3,8,3000000,42.146316,42.708969,66.351434,76.266016,79.316656
37,2,3,12,3000000,27.378215,15.253203,62.029693,86.943258,109.823063
38,2,3,12,3000000,26.752756,15.253203,59.487492,85.417938,100.671141
