compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,0,1,3000000,765745,307,946,1804,3401,1212768800,245,409,445,0,1164,0,895
0,0,2,3000000,930573,373,1410,2480,3956,163961376,276,639,901,2480,1054,0,947
0,0,4,3000000,1266970,508,1656,2666,4194,702278176,312,855,1202,2423,964,0,900
0,0,8,3000000,1332186,534,1870,2956,4920,2016533024,213,1936,2398,1364,788,0,924
0,0,12,3000000,1228320,492,1812,2878,5000,1023365664,270,2073,2613,830,970,0,710
1,0,1,3000000,825015,330,871,1542,3184,914491936,296,570,570,0,1125,0,0
1,0,2,3000000,1308418,524,1050,1615,3262,1687423520,169,402,581,4555,1096,0,1171
1,0,4,3000000,2164109,867,1129,1630,3148,2007865888,212,432,714,4576,1018,0,1098
1,0,8,3000000,778444,312,1512,2441,4188,982145568,214,858,12312,4292,1072,0,877
1,0,12,3000000,542531,217,1784,2808,4998,617042464,824,2754,10198,3488,1104,0,414
2,0,1,3000000,775000,310,932,1764,3386,0,346,846,846,0,1014,0,0
2,0,2,3000000,987602,396,1309,2354,3956,1272717856,408,788,848,2142,955,0,922
2,0,4,3000000,1636735,656,1318,2225,3677,1167333920,1094,1880,1884,872,800,0,848
2,0,8,3000000,1427769,572,1644,2678,4216,179251744,589,2420,2842,923,812,0,612
2,0,12,3000000,596151,239,1878,2960,5150,337443344,832,2548,13584,601,891,0,520
