NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
43,0,0,4,3000000,1308598,524.2,1726,1579,2589,3965,0,533,386,1129,1599,1924,1028,2206,940
44,0,0,4,3000000,1349736,540.6,1691,1540,2527,3947,0,542,476,1112,1585,1914,827,1764,847
45,0,0,8,3000000,1396420,559.3,2358,1629,2801,4964,0,932,992,1931,2245,910,1037,1284,624
46,0,0,8,3000000,1485315,594.9,2264,1570,2587,4100,0,824,659,1879,2228,1444,1017,762,749
47,0,0,12,3000000,1293384,518.1,3372,1701,2735,4547,0,838,651,2075,2569,763,1003,1224,695
48,0,0,12,3000000,1263845,506.2,3290,1698,2793,5052,0,698,393,1580,2362,1128,1075,1292,510
49,1,0,4,3000000,2011626,805.7,1290,1154,1773,3277,0,255,270,382,408,4152,1094,3074,1172
50,1,0,4,3000000,2153751,862.7,1234,1122,1629,3197,0,257,239,397,774,4774,1126,1740,1239
51,1,0,8,3000000,1958143,784.3,856,1204,1696,3083,0,748,505,1304,3319,1687,1053,915,663
52,1,0,8,3000000,1116337,447.1,1561,1394,2294,3861,0,529,239,471,6617,4064,1091,2538,1060
53,1,1,12,3000000,617548,247.4,1074,1741,2751,5095,0,1616,1244,3319,9809,3462,1113,1144,295
54,2,0,4,3000000,1667443,667.9,1762,1143,1665,3254,1,867,885,2071,2071,1132,856,0,777
55,2,0,4,3000000,1383672,554.2,1630,1487,2453,3737,0,829,879,1423,1815,1475,920,0,1206
56,2,0,8,3000000,1096556,439.2,2002,1757,2840,4546,0,1227,986,2439,5978,648,858,845,901
57,2,0,8,3000000,1334195,534.4,2197,1756,2815,4610,0,1088,958,1987,2473,975,765,653,588
58,2,0,12,3000000,550242,220.4,3919,1728,2804,5599,0,2498,1078,7511,16628,901,785,440,423
59,2,0,12,3000000,642758,257.5,3384,1770,2814,4831,0,2028,1341,3387,13485,599,782,357,328
