NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
43,0,1,4,3000000,29.307811,26.262037,52.524074,71.004766,81.704114
44,0,1,4,3000000,24.242737,23.344033,51.065071,61.278086,61.278086
45,0,1,8,3000000,40.374718,40.852057,70.032098,78.786110,94.835133
46,0,1,8,3000000,41.133467,42.311059,67.114094,99.212139,107.966151
47,0,1,12,3000000,48.500068,51.065071,71.977434,105.048147,116.720163
48,0,1,12,3000000,47.977257,51.794573,71.491100,93.376131,96.294135
49,1,1,4,3000000,12.547712,15.319521,20.426029,29.180041,29.180041
50,1,1,4,3000000,11.364810,13.617352,18.237526,24.803035,26.262037
51,1,1,8,3000000,12.263099,5.836008,29.180041,42.311059,46.688065
52,1,1,8,3000000,15.603163,20.426029,30.639043,36.475051,40.122556
53,1,1,12,3000000,15.289156,2.918004,40.852057,64.196090,70.032098
54,2,1,4,3000000,22.741519,21.155530,43.770061,71.491100,72.950102
55,2,1,4,3000000,26.800478,22.371365,52.524074,65.655092,78.786110
56,2,1,8,3000000,39.463462,40.852057,63.028888,83.163116,107.966151
57,2,1,8,3000000,35.874958,36.475051,61.278086,90.458127,105.048147
58,2,1,12,3000000,22.351526,8.754012,54.469410,75.868106,78.786110
59,2,1,12,3000000,26.832617,23.344033,60.305418,77.327108,81.704114
