NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
29,2,0,1,3000000,1.267361,0.000000,1.789709,30.574198,46.979866
30,2,0,1,3000000,0.449269,0.000000,1.491424,3.811448,4.474273
31,2,0,2,3000000,12.133604,0.894855,51.454139,68.903803,70.693512
32,2,0,2,3000000,8.749953,0.000000,38.478747,65.324385,74.944072
33,2,0,4,3000000,26.516562,5.369128,65.324385,69.798658,69.798658
34,2,0,4,3000000,29.062041,21.476510,66.219239,69.798658,69.798658
35,2,0,8,3000000,36.597053,46.234154,68.903803,77.181208,81.655481
36,2,0,8,3000000,29.207566,22.371365,65.324385,80.536913,81.655481
37,2,0,10,3000000,31.535829,26.845638,68.903803,81.655481,83.892617
38,2,0,10,3000000,33.808896,34.899329,67.114094,78.299776,82.774049
