NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
29,2,0,1,3000000,743966,298.0,957,1934,3497,236295200,246,349,438,0,1162,0,835
30,2,0,1,3000000,751845,301.1,944,1911,3439,0,249,406,444,0,1137,0,1249
31,2,0,2,3000000,1266654,507.3,1091,1730,3360,0,194,562,901,4219,1064,0,878
32,2,0,2,3000000,1310624,525.0,1065,1629,3369,1270490144,204,628,649,4712,1053,0,664
33,2,0,4,3000000,1866809,747.7,1118,1625,3163,0,909,1645,1645,1597,247,0,1282
34,2,0,4,3000000,1648036,660.1,1227,1998,3411,1557546016,389,846,1472,1887,448,0,900
35,2,0,8,3000000,774136,310.1,1395,2378,4108,0,413,1655,16726,3192,439,0,468
36,2,0,8,3000000,577387,231.3,1700,2747,4984,1943786528,349,2661,15510,2778,875,0,447
37,2,0,10,3000000,516116,206.7,1747,2820,5155,290210848,459,3726,12908,2360,841,0,400
38,2,0,10,3000000,432004,173.0,1590,2675,4676,1225622560,249,1340,17576,3021,854,0,625
