NO,compactor,current_node_id,thread,ops_per_thread,type,time
29,2,3,1,3000000,local,10
29,2,3,1,3000000,node 0,1
30,2,3,1,3000000,local,12
31,2,3,2,3000000,local,13
31,2,3,2,3000000,node 0,5
32,2,3,2,3000000,local,11
32,2,3,2,3000000,node 0,3
33,2,3,4,3000000,local,1
33,2,3,4,3000000,node 0,5
34,2,3,4,3000000,local,0
34,2,3,4,3000000,node 0,7
35,2,3,8,3000000,local,40
35,2,3,8,3000000,node 0,12
36,2,3,8,3000000,local,44
36,2,3,8,3000000,node 0,10
37,2,3,10,3000000,local,62
37,2,3,10,3000000,node 0,17
37,2,3,10,3000000,node 1,1
37,2,3,10,3000000,node 5,2
