compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,0,1,3000000,800390,321,897,1684,3290,357241888,259,507,510,0,1110,0,0
0,0,2,3000000,934016,374,1356,2462,3910,0,390,2442,2442,1548,972,0,794
0,0,4,3000000,1339293,536,1430,2441,3974,777569312,1132,2485,2485,837,961,0,0
0,0,8,3000000,1165670,467,1604,2628,4418,2133394464,584,3157,3752,621,430,0,768
0,0,10,3000000,1138947,456,1514,2514,4394,853992480,399,3164,4120,626,818,0,631
1,0,1,3000000,828234,332,866,1530,3173,1637868576,256,524,561,0,1158,0,0
1,0,2,3000000,1238486,496,1084,1815,3423,1573397536,194,574,662,5174,1084,0,1026
1,0,4,3000000,2023977,811,1162,1760,3238,0,300,762,1084,3629,840,0,932
1,0,8,3000000,499332,200,1626,2630,4746,1491616800,232,1616,24316,3364,1018,0,778
1,0,10,3000000,443480,178,1617,2614,4872,1789150240,772,3834,15692,2800,1035,0,362
