NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
8,0,1,1,3000000,793084,317.7,924,1749,3287,2074943576,293,506,544,0,1082,0,0
9,0,1,2,3000000,947619,379.6,1311,2449,3923,1129910744,384,975,2083,1595,1042,0,747
10,0,1,2,3000000,1292319,517.6,1052,1653,3455,0,427,2218,2218,712,997,0,0
11,0,1,4,3000000,1199021,480.3,1313,2174,3575,1950624104,534,2301,3830,1310,742,0,220
13,0,1,4,3000000,1490979,597.2,1244,2143,3538,1755589064,1581,2461,2461,877,898,0,911
14,0,1,8,3000000,1217060,487.5,1581,2558,4496,0,2235,3145,3281,317,478,0,1047
15,0,1,8,3000000,1386623,555.4,1580,2615,4501,355878560,669,2132,2293,739,580,0,624
16,0,1,10,3000000,1279163,512.4,1499,2492,4691,0,1475,3022,3827,465,944,0,802
17,0,1,10,3000000,1172164,469.5,1513,2458,4649,0,494,2880,3467,905,878,0,342
18,1,1,1,3000000,814405,326.2,882,1632,3261,195898552,250,431,512,0,1152,0,1167
20,1,1,1,3000000,816347,327.0,885,1565,3259,0,255,437,482,0,1159,0,1220
21,1,1,2,3000000,1278082,511.9,1039,1734,3347,194419496,170,587,656,4389,1090,0,1121
22,1,1,2,3000000,1320755,529.0,1035,1586,3239,443569144,194,448,681,4739,1095,0,1042
23,1,1,4,3000000,2114985,847.1,1140,1673,3175,19223736,236,446,624,4203,787,0,833
24,1,1,4,3000000,2176738,871.9,1117,1652,3177,0,328,709,736,3709,983,0,1000
25,1,1,8,3000000,530535,212.5,1618,2642,4534,892718160,214,497,27362,2729,1034,0,808
26,1,1,8,3000000,482246,193.2,1556,2561,4661,0,439,4062,21540,2817,744,0,507
27,1,1,10,3000000,371271,148.7,1729,2803,5133,0,572,3417,26279,2651,1031,0,334
