NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
8,0,5,1,3000000,4.447075,2.918004,13.131018,17.508025,18.967027
9,0,5,2,3000000,5.949968,2.918004,13.860519,46.688065,61.278086
10,0,5,2,3000000,6.736795,2.918004,16.049022,58.360082,78.786110
11,0,5,4,3000000,11.219390,2.918004,46.104465,78.786110,78.786110
13,0,5,4,3000000,9.678264,2.918004,35.016049,73.922770,81.704114
14,0,5,8,3000000,22.157771,3.501605,67.114094,105.048147,107.966151
15,0,5,8,3000000,19.286787,2.918004,60.548585,81.704114,90.458127
16,0,5,10,3000000,19.834373,2.918004,63.466589,102.130143,110.884155
17,0,5,10,3000000,22.026359,2.918004,67.114094,81.704114,107.966151
18,1,5,1,3000000,3.998198,2.918004,7.781344,17.508025,18.967027
20,1,5,1,3000000,3.892701,2.918004,3.501605,16.049022,20.426029
21,1,5,2,3000000,4.568223,2.918004,11.088416,20.426029,26.262037
22,1,5,2,3000000,4.602382,2.918004,13.131018,20.426029,21.885031
23,1,5,4,3000000,6.299110,2.918004,21.885031,32.827546,35.745550
24,1,5,4,3000000,5.995482,2.918004,20.426029,28.450540,40.852057
25,1,5,8,3000000,10.655543,7.781344,29.180041,43.770061,52.524074
26,1,5,8,3000000,11.294677,7.295010,33.070713,42.311059,55.442078
27,1,5,10,3000000,11.085619,7.781344,33.557047,51.065071,64.196090
28,1,5,10,3000000,11.245275,8.024511,33.848847,49.606069,58.360082
