compactor,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,1,3000000,779506.0,312.33,926.33,1787.67,3344.0,1144759453.33,267.0,456.0,497.33,,1116.0,,760.0
0,2,3000000,1041107.0,417.0,1264.0,2239.0,3753.0,951692692.0,398.67,2051.0,2235.67,1392.33,1003.0,,765.33
0,4,3000000,1337035.67,535.33,1364.67,2301.0,3798.0,1013802920.0,1195.0,2392.67,2647.67,902.33,916.33,,673.0
0,8,3000000,1220177.67,488.67,1572.67,2573.67,4446.0,864664586.67,1422.67,2944.33,3262.33,595.67,506.33,,787.0
0,10,3000000,1179455.0,472.33,1521.67,2513.67,4656.0,853992480.0,936.33,3102.67,3785.67,660.0,867.67,,623.0

1,1,3000000,824062.67,330.33,873.67,1553.33,3189.0,916883564.0,256.67,447.33,500.0,,1154.67,,1208.0
1,2,3000000,1269982.67,508.67,1063.0,1726.67,3350.67,1174798768.0,197.33,523.33,713.33,4543.33,1092.67,,1087.67
1,4,3000000,1865063.67,747.33,1245.0,1930.67,3379.0,682940172.0,257.33,599.67,974.67,3774.33,821.0,,965.33
1,8,3000000,491762.67,197.0,1646.33,2670.0,4851.0,1045799738.67,342.0,2350.0,24338.33,2993.67,929.67,,617.33
1,10,3000000,424115.0,170.0,1694.67,2735.33,5152.33,1450395328.0,845.0,3808.33,18947.33,2780.33,1000.67,,340.0

2,1,3000000,761704.67,305.33,942.33,1875.67,3417.33,884678834.67,260.33,435.33,475.33,4317.0,1121.33,,1106.67
2,2,3000000,1265273.67,506.67,1083.67,1741.0,3366.0,1283780584.0,200.0,577.67,795.0,4220.33,1026.0,,849.67
2,4,3000000,1951232.33,781.67,1137.33,1694.67,3208.67,1680368304.0,651.67,1254.67,1365.33,2210.67,548.33,,1152.0
2,8,3000000,675854.67,271.0,1592.0,2633.33,4805.33,1025057269.33,403.33,2340.67,14958.0,2817.67,718.33,,455.33
2,10,3000000,471455.67,189.0,1687.67,2761.33,5008.0,1450436896.0,383.0,2841.33,16106.0,2428.33,921.67,,465.67
