NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
17,0,2,8,3000000,1211542,485.3,3297,1750,2880,4748,0,869,373,2572,3132,514,206,2188,603
18,0,2,8,3000000,1321737,529.4,2950,1698,2759,4441,0,1157,466,2860,3879,441,621,1182,881
19,0,2,12,3000000,1246830,499.4,3762,1818,2894,4693,0,750,401,1814,2836,463,910,1728,624
20,0,2,12,3000000,1205368,482.8,4391,1805,2840,5095,0,751,373,2226,3075,515,869,1720,695
21,0,2,16,3000000,1195216,478.7,4720,1886,2944,4870,0,585,391,1727,2519,469,918,1728,536
22,0,2,16,3000000,1192728,477.7,5006,1841,2928,5256,0,615,377,1888,2500,582,894,1339,586
23,1,2,8,3000000,868721,348.0,2813,1684,2659,4530,0,1315,408,4032,6054,3291,1015,1284,725
24,1,2,8,3000000,777007,311.2,3240,1715,2717,4779,0,1233,517,2644,9438,3224,987,1332,484
26,1,2,12,3000000,631634,253.0,1711,1783,2801,5105,0,1450,903,2715,6225,2076,922,1057,351
27,1,2,12,3000000,725030,290.4,2495,1758,2773,4967,0,1586,1139,3741,4607,3133,986,679,381
