NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
32,0,5,8,3000000,20.762300,3.501605,65.655092,79.758778,91.917129
33,0,5,8,3000000,19.652872,2.918004,61.278086,99.212139,107.966151
34,0,5,12,3000000,25.482964,3.501605,67.697695,102.130143,107.966151
35,0,5,12,3000000,22.400733,3.501605,64.196090,99.212139,107.966151
36,0,5,16,3000000,29.000138,9.726680,71.004766,93.376131,110.884155
37,0,5,16,3000000,29.324627,8.754012,71.004766,91.917129,110.884155
38,1,5,8,3000000,10.204042,3.647505,32.098045,40.852057,43.770061
39,1,5,8,3000000,11.202704,3.501605,33.557047,67.114094,72.950102
41,1,5,12,3000000,18.531457,8.754012,52.524074,61.278086,70.032098
42,1,5,12,3000000,13.931760,7.295010,41.581558,55.442078,64.196090
