NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
24,2,0,4,3000000,1756155,703.4,1260,2085,3568,1455121440,728,1569,1569,2056,507,0,0
25,2,0,4,3000000,2002457,802.1,1177,1788,3317,0,755,1659,1659,2290,1006,0,0
27,2,0,4,3000000,1954651,782.9,1198,1892,3527,2037240864,433,898,1055,3580,797,0,1124
28,2,0,4,3000000,2067421,828.1,1172,1747,3263,1738150944,541,1033,1033,2932,375,0,1189
30,2,0,4,3000000,1228858,492.2,1655,2573,4112,422970400,283,547,2485,3567,658,2035,896
31,2,0,4,3000000,1823637,730.4,1232,1997,3418,0,286,421,1721,3883,1061,2443,836
32,2,0,4,3000000,1837371,735.9,1225,1990,3504,0,293,670,992,3286,1011,3066,1036

34,2,0,4,3000000,1438621,576.2,1326,2176,3498,803230752,506,1973,2274,2234,977,1207,549
35,2,0,4,3000000,2150457,861.4,1141,1678,3269,1197868064,285,484,835,3991,700,2026,1045
36,2,0,4,3000000,1813619,726.4,1199,1950,3449,1995977760,528,1366,1390,2930,744,2134,380
37,2,0,4,3000000,1995820,799.4,1165,1808,3242,1175417888,537,986,1042,1630,506,1605,731
38,2,0,4,3000000,1240411,496.8,1636,2601,4142,1354355744,357,1582,1657,3149,1012,1400,538
39,2,0,4,3000000,1612206,645.8,1215,1993,3332,1834107936,1374,1961,1967,2630,1038,226,372
40,2,0,4,3000000,1605754,643.2,1129,1639,3209,0,936,2295,2568,2392,854,2805,392

