NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,5,4,3000000,6.008749,2.918004,21.885031,25.532536,28.207373
25,2,5,8,3000000,8.856695,2.918004,32.098045,37.934053,44.499562
27,2,5,8,3000000,8.953687,2.918004,33.557047,45.715397,64.196090
28,2,5,12,3000000,15.108891,8.024511,43.770061,62.737088,75.868106
30,2,5,12,3000000,15.936598,3.647505,46.688065,70.032098,75.868106
31,2,5,16,3000000,22.137413,8.754012,61.278086,84.622118,102.130143
32,2,5,16,3000000,21.382142,8.754012,60.548585,81.704114,99.212139
34,2,5,16,3000000,22.916705,8.754012,67.114094,87.540123,105.048147
35,2,5,16,3000000,20.948006,8.754012,61.278086,77.327108,102.130143
36,2,5,12,3000000,19.108843,3.501605,54.712577,78.786110,99.212139
37,2,5,12,3000000,15.210111,3.647505,46.688065,72.950102,86.081121
38,2,5,12,3000000,19.130076,3.647505,55.442078,71.004766,87.540123
39,2,5,8,3000000,16.078079,2.918004,48.147067,75.868106,99.212139
40,2,5,8,3000000,14.757822,2.918004,46.688065,67.114094,84.622118
