NO,compactor,current_node_id,thread,ops_per_thread,type,time
9,2,5,8,3000000,local,31
9,2,5,8,3000000,node 0,14
11,2,5,8,3000000,local,31
11,2,5,8,3000000,node 0,12
11,2,5,8,3000000,node 1,1
12,2,5,12,3000000,local,60
12,2,5,12,3000000,node 0,15
12,2,5,12,3000000,node 1,5
13,2,5,12,3000000,local,52
13,2,5,12,3000000,node 0,21
13,2,5,12,3000000,node 1,1
14,2,5,16,3000000,local,87
14,2,5,16,3000000,node 0,21
14,2,5,16,3000000,node 1,11
14,2,5,16,3000000,node 3,1
15,2,5,16,3000000,local,89
15,2,5,16,3000000,node 0,24
15,2,5,16,3000000,node 1,6
15,2,5,16,3000000,node 3,3
16,2,5,16,3000000,local,85
16,2,5,16,3000000,node 0,19
16,2,5,16,3000000,node 1,4
16,2,5,16,3000000,node 3,1
