compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,1,1,3000000,785123,314,918,1806,3371,1303194808,250,443,468,0,1152,0,1355
0,1,2,3000000,1026497,411,1219,2314,3702,1472963496,330,694,885,2528,1099,0,1051
0,1,4,3000000,1398186,560,1464,2423,3935,1924410056,403,946,1174,2474,983,0,914
0,1,8,3000000,1405573,563,1630,2691,4563,2031436816,216,1655,2118,1378,946,0,856
0,1,12,3000000,1334782,535,1440,2357,4506,453162664,320,1854,2592,953,994,0,618
1,1,1,3000000,831694,333,870,1553,3198,2007837880,273,508,508,0,1112,0,1054
1,1,2,3000000,1319466,528,1037,1584,3278,1028244776,224,570,756,4752,1070,0,1140
1,1,4,3000000,1746956,700,1314,1996,3510,1584708248,158,412,794,4494,1026,0,1108
1,1,8,3000000,847163,339,1606,2614,4675,0,184,1759,3738,4394,1031,0,834
1,1,12,3000000,539597,216,1738,2792,5202,0,750,2974,10224,3472,1082,0,402
2,1,1,3000000,790020,316,903,1844,3404,732767880,318,742,742,0,1005,0,0
2,1,2,3000000,1111643,445,1172,2116,3672,1272271352,456,1006,1030,1922,964,0,883
2,1,4,3000000,1503115,602,1362,2287,3664,1007819960,1160,1396,1754,1030,838,0,1154
2,1,8,3000000,1103177,442,1692,2724,4620,908344080,1240,2514,5086,687,578,0,656
2,1,12,3000000,532547,213,1622,2682,5278,0,966,3728,12610,736,845,0,442
