NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
1,0,1,1,3000000,750662,300.7,957,1931,3486,195898552,237,383,403,0,0,0,0
2,0,1,1,3000000,804698,322.3,898,1737,3312,1470966968,259,454,474,0,0,0,0
3,0,1,1,3000000,761443,305.0,941,1912,3436,1940729016,253,403,463,0,1177,0,1355
4,0,1,1,3000000,823690,329.9,878,1642,3250,1605184696,251,531,531,0,1127,0,0
5,0,1,2,3000000,991249,397.0,1268,2367,3854,0,367,751,873,2777,1087,0,1101
6,0,1,2,3000000,1061745,425.3,1170,2260,3549,1472963496,293,637,897,2280,1111,0,1001
7,0,1,4,3000000,1636342,655.4,1270,2186,3539,1924410056,566,967,1072,2411,1012,0,967
8,0,1,4,3000000,1160030,464.6,1659,2660,4331,0,240,924,1276,2537,954,0,862
9,0,1,8,3000000,1447148,579.6,1573,2635,4679,0,237,1786,2209,1494,889,0,729
10,0,1,8,3000000,1363998,546.3,1687,2747,4447,2031436816,195,1524,2027,1261,1003,0,982
13,0,1,12,3000000,1392633,557.8,1358,2189,4439,322294408,258,2248,2572,1028,1065,0,746
14,0,1,12,3000000,1276932,511.5,1522,2525,4572,584030920,382,1459,2613,878,924,0,490
15,1,1,1,3000000,828101,331.7,872,1578,3209,0,274,539,539,0,1095,0,1231
16,1,1,1,3000000,835287,334.6,867,1528,3186,2007837880,272,477,477,0,1129,0,877
17,1,1,2,3000000,1302774,521.8,1044,1596,3278,984338312,184,491,721,4686,1056,0,1214
18,1,1,2,3000000,1336158,535.2,1030,1571,3279,1072151240,263,649,792,4818,1084,0,1065
19,1,1,4,3000000,2155439,863.3,1113,1607,3136,1584708248,142,512,927,4579,1003,0,1029
20,1,1,4,3000000,1338472,536.1,1516,2385,3884,0,175,311,662,4410,1049,0,1187
21,1,1,8,3000000,962714,385.6,1634,2639,4763,0,184,2099,5177,4599,1053,0,841
22,1,1,8,3000000,731612,293.0,1578,2588,4587,0,185,1419,2299,4189,1009,0,827
23,1,1,12,3000000,538030,215.5,1739,2810,5447,0,774,2899,10648,3692,1097,0,418
24,1,1,12,3000000,541164,216.8,1737,2775,4958,0,725,3050,9799,3252,1067,0,387
26,2,1,1,3000000,819445,328.2,872,1727,3338,1068313784,350,720,720,0,1025,0,0
27,2,1,1,3000000,760595,304.7,934,1960,3471,397221976,287,765,765,0,985,0,0
28,2,1,2,3000000,1231439,493.2,1081,1806,3473,0,547,1095,1095,2040,917,0,0
29,2,1,2,3000000,991847,397.3,1262,2426,3871,1272271352,365,918,965,1803,1011,0,883
30,2,1,4,3000000,1367356,547.7,1448,2439,3828,1007819960,1010,1297,2015,932,741,0,1154
31,2,1,4,3000000,1638874,656.4,1276,2135,3501,1007819960,1309,1494,1494,1127,936,0,0
32,2,1,8,3000000,1247643,499.7,1741,2771,4683,0,1461,2477,2811,834,539,0,0
33,2,1,8,3000000,958711,384.0,1642,2677,4558,908344080,1019,2551,7361,540,616,0,656
34,2,1,12,3000000,538254,215.6,1563,2629,5566,0,938,3284,13159,647,892,0,552
35,2,1,12,3000000,526840,211.0,1682,2736,4991,0,994,4171,12060,826,798,0,333
