compactor,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,1,3000000,775434.0,310.5,932.0,1805.0,3386.0,1257981804.0,247.5,426.0,456.5,,1158.0,,1125.0
0,2,3000000,978535.0,392.0,1314.5,2397.0,3829.0,818462436.0,303.0,666.5,893.0,2504.0,1076.5,,999.0
0,4,3000000,1332578.0,534.0,1560.0,2544.5,4064.5,1313344116.0,357.5,900.5,1188.0,2448.5,973.5,,907.0
0,8,3000000,1368879.5,548.5,1750.0,2823.5,4741.5,2023984920.0,214.5,1795.5,2258.0,1371.0,867.0,,890.0
0,12,3000000,1281551.0,513.5,1626.0,2617.5,4753.0,738264164.0,295.0,1963.5,2602.5,891.5,982.0,,664.0
1,1,3000000,828354.5,331.5,870.5,1547.5,3191.0,1461164908.0,284.5,539.0,539.0,,1118.5,,1054.0
1,2,3000000,1313942.0,526.0,1043.5,1599.5,3270.0,1357834148.0,196.5,486.0,668.5,4653.5,1083.0,,1155.5
1,4,3000000,1955532.5,783.5,1221.5,1813.0,3329.0,1796287068.0,185.0,422.0,754.0,4535.0,1022.0,,1103.0
1,8,3000000,812803.5,325.5,1559.0,2527.5,4431.5,982145568.0,199.0,1308.5,8025.0,4343.0,1051.5,,855.5
1,12,3000000,541064.0,216.5,1761.0,2800.0,5100.0,617042464.0,787.0,2864.0,10211.0,3480.0,1093.0,,408.0
2,1,3000000,782510.0,313.0,917.5,1804.0,3395.0,732767880.0,332.0,794.0,794.0,,1009.5,,
2,2,3000000,1049622.5,420.5,1240.5,2235.0,3814.0,1272494604.0,432.0,897.0,939.0,2032.0,959.5,,902.5
2,4,3000000,1569925.0,629.0,1340.0,2256.0,3670.5,1087576940.0,1127.0,1638.0,1819.0,951.0,819.0,,1001.0
2,8,3000000,1265473.0,507.0,1668.0,2701.0,4418.0,543797912.0,914.5,2467.0,3964.0,805.0,695.0,,634.0
2,12,3000000,564349.0,226.0,1750.0,2821.0,5214.0,337443344.0,899.0,3138.0,13097.0,668.5,868.0,,481.0
