compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
0,0,1,3000000,676294,271,1024,2326,4314,1038342496,254,398,452
0,0,2,3000000,805452,323,1625,2838,5150,477682864,356,887,1070
0,0,4,3000000,1564783,627,1470,2476,4434,0,485,930,1194
0,0,8,3000000,1486781,596,1724,2802,4520,266615984,312,1633,1755
0,0,12,3000000,1332619,534,1736,2778,4477,1063353520,407,1418,2506
1,0,1,3000000,718636,288,982,2134,3872,8838,279,447,545
1,0,2,3000000,993373,398,1326,2387,4834,13129,216,570,752
1,0,4,3000000,1747204,700,1367,2215,4511,10974,171,445,632
1,0,8,3000000,906460,363,1630,2584,4446,444456516,186,468,9391
1,0,12,3000000,554412,222,1546,2518,4458,1419606368,540,2715,11038
