compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
2,0,1,3000000,744339,298.1,953,1944,3491,0,309,807,807
2,0,1,3000000,749773,300.3,948,1947,3466,0,332,828,828
2,0,1,3000000,749635,300.3,949,1935,3469,1569356128,451,1118,1118
2,0,2,3000000,1235983,495.1,1108,1830,3479,1344735584,498,1308,1308
2,0,2,3000000,1252601,501.7,1109,1763,3392,2092472672,535,1393,1393
2,0,2,3000000,1230632,492.9,1116,1822,3381,0,347,732,1087
2,0,4,3000000,1785797,715.3,1281,2167,3549,634403168,940,1719,1719
2,0,4,3000000,1488380,596.2,1275,2124,3550,0,704,1781,2571
2,0,4,3000000,1426910,571.5,1519,2509,3798,538843488,698,1353,1652
2,0,8,3000000,1226443,491.2,1766,2829,4461,486472032,1674,2682,3309
2,0,8,3000000,1225191,490.7,1759,2801,4496,1395280224,1253,2516,4272
2,0,8,3000000,1398317,560.1,1644,2642,4017,1597016416,1610,2372,2430
2,0,12,3000000,643579,257.8,1701,2777,4547,0,1120,2879,11598
2,0,12,3000000,577514,231.3,1752,2820,4622,1992239456,833,4017,12236
2,0,12,3000000,615471,246.5,1755,2802,4583,165091680,1027,2622,13349
