compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,1,1,3000000,2.177507,2.097315,4.194631,5.872483,5.872483
2,1,1,3000000,2.226381,2.097315,4.194631,5.872483,11.744966
2,1,1,3000000,2.101531,1.677852,4.194631,5.033557,5.872483
2,1,2,3000000,3.117827,2.796421,5.033557,10.906040,15.939597
2,1,2,3000000,3.253511,2.516779,6.711409,10.067114,15.939597
2,1,2,3000000,3.424084,3.355705,6.711409,12.583893,13.842282
2,1,4,3000000,7.714964,6.711409,16.778523,20.973154,28.523490
2,1,4,3000000,7.070081,6.291946,15.100671,22.651007,24.328859
2,1,4,3000000,7.470869,7.130872,14.681208,24.328859,26.845638
2,1,8,3000000,11.032923,10.906040,20.134228,26.006711,32.718121
2,1,8,3000000,12.095930,12.583893,20.134228,27.684564,33.557047
2,1,8,3000000,11.629318,11.744966,19.714765,29.362416,34.395973
2,1,12,3000000,7.873980,4.194631,19.295302,29.362416,36.073826
2,1,12,3000000,7.068830,2.516779,18.456376,29.362416,38.590604
2,1,12,3000000,7.778340,3.355705,18.456376,26.006711,34.395973
