thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,827699,331.5,0.873205,0.860437,1.290656,1.290656,0.609781,0.609781,0.609781,0.609781,904,1578,2946,5200
1,5000000,804373,322.2,0.887734,1.290656,1.290656,1.290656,0.791538,0.796269,0.796269,0.796269,948,1625,2977,4919
2,5000000,815189,326.5,0.897616,1.290656,1.290656,1.290656,0.785460,0.810488,0.810488,0.810488,1111,1885,3411,5859
2,5000000,963509,385.9,0.897223,1.290656,1.290656,1.434062,0.754290,0.754290,0.754290,0.754290,1091,1831,3163,5774
4,5000000,722203,289.3,0.889913,1.290656,1.290656,1.290656,0.776096,0.824707,0.824707,0.824707,1309,2205,3747,6952
4,5000000,718432,287.8,0.885579,1.290656,1.290656,1.290656,0.559800,0.559800,0.559800,0.559800,1252,2046,3375,6195
8,5000000,625139,250.4,0.875205,1.290656,1.290656,1.290656,0.712889,0.712889,0.712889,0.712889,1580,2677,4420,8737
8,5000000,618913,247.9,0.903335,1.290656,1.290656,1.290656,0.586448,0.586448,0.586448,0.586448,1390,2303,3681,6199
16,5000000,472086,189.1,0.880280,1.290656,1.290656,1.290656,0.697069,0.697069,0.697069,0.697069,1815,3033,5748,11347
16,5000000,452061,181.1,0.909470,1.290656,1.290656,1.290656,0.778055,0.796269,0.796269,0.796269,2028,3307,6034,11051
