thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,837750,335.6,0.876558,1.290656,1.290656,1.720874,2.045464,3.775168,9.507830,15.939597,901,1460,2968,6235
1,5000000,847176,339.3,0.879427,1.290656,1.290656,1.720874,0.691975,0.811420,0.811420,0.811420,889,1452,2960,6394
2,5000000,1285661,515.0,0.890155,1.290656,1.290656,1.720874,5.387840,12.583893,20.134228,23.909396,1060,1617,2985,5705
2,5000000,1320245,528.8,0.902636,1.290656,1.290656,1.720874,0.690117,0.824944,0.824944,0.824944,1048,1606,3090,6460
4,5000000,2101946,841.9,0.900009,1.290656,1.290656,1.720874,11.436780,20.973154,29.362416,36.493289,1136,1694,3057,6630
4,5000000,889449,356.3,0.908013,1.290656,1.290656,1.290656,0.750841,0.825173,0.825173,0.825173,1121,1682,3007,6383
4,5000000,747785,299.5,0.889582,1.290656,1.290656,1.290656,0.713235,0.811420,0.811420,0.811420,1139,1779,3064,6355
4,5000000,832323,333.4,0.876075,1.290656,1.290656,1.290656,0.708806,0.811420,0.811420,0.811420,1127,1680,2991,6207
8,5000000,722088,289.2,0.901945,1.290656,1.290656,2.581311,0.703283,0.797668,0.797668,0.797668,1261,1949,3367,7250
8,5000000,810141,324.5,0.893410,1.290656,1.290656,1.290656,0.602299,1.635195,1.635195,1.635195,1215,1894,3179,6842
8,5000000,795333,318.6,0.900591,1.290656,1.290656,1.720874,0.755144,0.797668,0.797668,0.797668,1348,2219,3835,7710
8,5000000,753846,301.9,0.890931,1.290656,1.290656,1.720874,0.764319,0.811420,0.811420,0.811420,1254,1884,3312,7193
16,5000000,540839,216.6,1.383176,2.151093,2.151093,2.151093,0.042565,0.000000,0.798333,0.798333,1816,2883,5184,10717
16,5000000,530410,212.5,0.877373,1.290656,1.290656,1.720874,0.728028,0.825173,0.825173,0.825173,1407,2242,3753,8071
16,5000000,689533,276.2,0.906372,1.290656,1.290656,1.290656,0.756640,0.796980,0.796980,0.796980,1537,2493,4221,8873
