NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99




5,1,1,1,153,34,46,56,119,321,445,474
5,1,1,2,41901,9443,12275,14903,23820,86568,116703,239150
5,1,1,3,1332056,8675,29233,47597,146865,5550529,6324944,10678896
5,1,1,4,126175,599,1448,2591,8503,563218,743695,1654169
5,1,1,5,253,37,72,75,234,613,701,747
5,1,2,1,86,57,57,70,83,108,110,110
5,1,2,2,15933,12983,12983,13827,15650,18383,19282,19282
5,1,2,3,491016,91175,91175,132293,512962,727302,887236,887236
5,1,2,4,46696,9728,9728,14489,52029,68061,90423,90423
5,1,2,5,42,20,20,22,47,57,71,71
5,1,3,1,76926,20,29,40,88,467706,544510,713135
5,1,3,2,610,0,1,2,9,29,4221,16247
5,1,3,3,820311,16988,34779,57998,163563,2050185,3396570,10662574
5,1,3,4,111347,250,1622,2512,8626,37066,720798,2187804
5,1,3,5,302,42,49,50,104,418,1664,3853
5,1,4,1,77661,18,23,24,44,515944,592981,687343
5,1,4,2,4750,14,235,493,4022,10935,12424,14818
5,1,4,3,1043593,23259,101808,128155,353997,3423281,3914129,5636973
5,1,4,4,199090,1650,6808,9150,18570,738598,748254,3817030
5,1,4,5,185,15,18,24,37,103,683,5729


7,1,1,1,132,34,51,59,112,184,381,596
7,1,1,2,39041,9848,12902,14750,22402,93002,121567,166677
7,1,1,3,1376467,7884,21853,33868,136026,6268199,9266571,10678542
7,1,1,4,110309,419,1063,1937,7975,552239,739716,1709838
7,1,1,5,16409,60,63,82,243,330,556,550552
7,1,2,1,76,17,17,20,73,117,193,193
7,1,2,2,14620,8657,8657,10224,14552,17611,20126,20126
7,1,2,3,418299,133330,133330,134563,443268,691312,838219,838219
7,1,2,4,39983,14445,14445,14520,42622,64038,76435,76435
7,1,2,5,37,22,22,23,42,54,56,56
7,1,3,1,144726,19,34,39,80,546893,628649,708377
7,1,3,2,1469,0,1,2,9,49,10056,32668
7,1,3,3,1183643,11270,29592,45466,574573,3352917,3518298,4906111
7,1,3,4,134387,158,976,1730,8313,586292,727220,1123038
7,1,3,5,8249,39,45,52,99,417,2897,705659
7,1,4,1,82659,13,21,24,41,507771,599141,745091
7,1,4,2,4922,194,619,1083,3327,12316,12733,14364
7,1,4,3,1723712,23103,109230,147860,1270272,4055597,4532660,9982442
7,1,4,4,144693,2073,9951,10985,20313,597528,764755,1844404
7,1,4,5,38,18,25,25,33,53,66,122




11,1,1,1,17306,31,40,41,101,193,297,550625
11,1,1,2,19804,9292,10068,12021,17605,30117,33581,44133
11,1,1,3,204099,12090,19604,31663,109991,236591,1138218,1806886
11,1,1,4,16148,767,1274,1591,6591,11715,17268,554067
11,1,1,5,299,38,53,84,143,249,321,4881
11,1,2,1,74,32,32,35,78,112,137,137
11,1,2,2,15027,6937,6937,9720,15770,20155,23277,23277
11,1,2,3,393475,83537,83537,130578,399940,612446,775895,775895
11,1,2,4,37967,9570,9570,14125,37731,66703,68837,68837
11,1,2,5,39,18,18,20,42,59,69,69
11,1,3,1,15358,19,27,44,87,269,11038,538719
11,1,3,2,1635,0,2,2,8,95,19282,31634
11,1,3,3,159434,19010,27695,41005,133770,277636,300268,812876
11,1,3,4,9165,577,1071,1869,6849,14122,17566,26627
11,1,3,5,140,36,46,48,133,247,275,346
11,1,4,1,45,18,19,24,41,78,79,87
11,1,4,2,5038,357,574,900,4601,8686,12569,15342
11,1,4,3,323226,76045,85146,112552,178387,675062,763698,2357876
11,1,4,4,17814,6848,9247,10540,16612,26886,28689,37592
11,1,4,5,51,18,20,24,29,57,236,274

