NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,0,4,3000000,33.996535,39.373602,65.324385,81.655481,81.655481
25,2,0,4,3000000,22.302208,17.002237,52.796421,71.588367,76.062640
27,2,0,4,3000000,27.211443,8.948546,65.324385,78.299776,80.536913
28,2,0,4,3000000,34.518390,48.471290,68.008949,73.825503,74.944072
30,2,0,4,3000000,26.992093,23.266219,63.534676,80.536913,81.655481
31,2,0,4,3000000,21.761203,8.948546,58.165548,77.181208,79.418345
32,2,0,4,3000000,27.684108,26.845638,64.429530,77.181208,80.536913
34,2,0,4,3000000,23.260707,7.158837,63.534676,79.418345,79.418345
35,2,0,4,3000000,19.961110,8.053691,53.691275,68.903803,77.181208
36,2,0,4,3000000,22.653499,15.212528,58.165548,68.008949,69.351230
37,2,0,4,3000000,26.661778,14.019389,65.324385,69.798658,69.798658
38,2,0,4,3000000,21.597486,9.843400,57.270694,73.825503,81.655481
39,2,0,4,3000000,21.858068,8.948546,62.639821,68.903803,69.798658
40,2,0,4,3000000,19.559655,7.649563,53.691275,77.181208,80.536913
