NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,16,2000000,1,1,11,5,5,6,8,23,35,35
1,0,16,2000000,1,2,32187,7,9,15,29,885,62052,1320064
1,0,16,2000000,1,3,1869471,485159,643430,766665,2079114,2575223,2704392,2790239
1,0,16,2000000,1,4,189731,3374,5641,13033,131945,476180,541381,674617
1,0,16,2000000,2,2,10111,8625,8625,8625,10895,11081,11081,11081
1,0,16,2000000,2,3,269077,112453,112453,112453,356720,429788,429788,429788
1,0,16,2000000,2,4,25578,15828,15828,15828,27140,42733,42733,42733
1,0,16,2000000,3,1,9,2,2,2,9,21,21,21
1,0,16,2000000,3,2,161,1,2,3,11,554,1771,1771
1,0,16,2000000,3,3,372580,192615,192615,244534,339535,591394,733925,733925
1,0,16,2000000,3,4,22555,7434,7434,7875,22151,42785,49830,49830
1,0,16,2000000,4,2,23077,104,104,128,11973,104082,129967,129967
1,0,16,2000000,4,3,598636,397580,397580,469832,532061,837118,1267804,1267804
1,0,16,2000000,4,4,96916,38757,38757,40291,61563,85109,542544,542544

2,0,16,2000000,1,1,15,6,6,8,13,33,40,40
2,0,16,2000000,1,2,79798,10,14,17,86,102356,657490,1847354
2,0,16,2000000,1,3,1949595,330177,624369,694833,2106877,2815471,2989441,3201153
2,0,16,2000000,1,4,151839,3529,7842,18609,99155,423059,494365,597105
2,0,16,2000000,2,2,9726,438,438,438,10568,17957,17957,17957
2,0,16,2000000,2,3,317811,126311,126311,126311,387205,540980,540980,540980
2,0,16,2000000,2,4,31531,11151,11151,11151,34188,55545,55545,55545
2,0,16,2000000,3,1,6,4,4,4,7,7,7,7
2,0,16,2000000,3,2,10,4,4,5,10,18,21,21
2,0,16,2000000,3,3,346049,200692,200692,260437,287148,561290,567934,567934
2,0,16,2000000,3,4,31206,12041,12041,13423,28292,46849,68433,68433
2,0,16,2000000,4,2,31832,115,115,121,1318,223140,236749,236749
2,0,16,2000000,4,3,663486,258676,258676,308817,513673,1692017,1760925,1760925
2,0,16,2000000,4,4,65985,25709,25709,27008,53504,112367,204596,204596

3,0,8,2000000,1,1,13,5,5,7,10,37,37,37
3,0,8,2000000,1,2,8913,8,12,15,22,4528,46350,191638
3,0,8,2000000,1,3,1030991,332247,492705,550324,1054910,1525357,1665815,1790068
3,0,8,2000000,1,4,79556,3093,4189,6052,37477,260984,385458,555264
3,0,8,2000000,2,2,4316,330,330,330,7135,9290,9290,9290
3,0,8,2000000,2,3,229941,129945,129945,129945,259901,369930,369930,369930
3,0,8,2000000,2,4,23033,10825,10825,10825,26921,37586,37586,37586
3,0,8,2000000,3,1,14,3,3,3,5,35,35,35
3,0,8,2000000,3,2,459,1,1,1,7,3550,3550,3550
3,0,8,2000000,3,3,196159,109385,109385,109385,179082,395634,395634,395634
3,0,8,2000000,3,4,15992,7005,7005,7005,10008,46474,46474,46474
3,0,8,2000000,4,2,15786,992,992,992,15042,37261,37261,37261
3,0,8,2000000,4,3,281608,220130,220130,220130,318026,323541,323541,323541
3,0,8,2000000,4,4,29360,22028,22028,22028,35015,36018,36018,36018

4,0,8,2000000,1,1,8,4,4,4,8,14,14,14
4,0,8,2000000,1,2,65886,4,5,7,22,561,75655,2446786
4,0,8,2000000,1,3,1215206,171681,291722,402106,1226776,2063069,2753310,3289841
4,0,8,2000000,1,4,69195,1519,2261,2912,33656,151132,233711,374487
4,0,8,2000000,2,2,11999,10709,10709,10709,12421,12868,12868,12868
4,0,8,2000000,2,3,230317,113824,113824,113824,234714,342415,342415,342415
4,0,8,2000000,2,4,22227,11622,11622,11622,22754,32307,32307,32307
4,0,8,2000000,3,1,8,6,6,6,10,10,10,10
4,0,8,2000000,3,2,10,1,1,1,9,28,28,28
4,0,8,2000000,3,3,574659,417723,417723,417723,610273,666316,666316,666316
4,0,8,2000000,3,4,15792,3758,3758,3758,15799,35058,35058,35058
4,0,8,2000000,4,2,11913,138,138,138,11851,33765,33765,33765
4,0,8,2000000,4,3,394988,182629,182629,182629,227981,820180,820180,820180
4,0,8,2000000,4,4,65745,20988,20988,20988,25524,223977,223977,223977

5,1,16,2000000,1,1,590,36,36,42,65,1711,4573,4573
5,1,16,2000000,1,2,1926149,141072,141072,159760,334714,5799063,11546803,11546803
5,1,16,2000000,1,3,144,35,35,45,56,449,465,465
5,1,16,2000000,2,1,3754,22,22,22,29,26066,26066,26066
5,1,16,2000000,2,2,573747,165388,165388,165388,584534,991851,991851,991851
5,1,16,2000000,2,3,32,15,15,15,36,41,41,41
5,1,16,2000000,3,1,192,18,20,28,44,76,139,3094
5,1,16,2000000,3,2,620454,111507,124919,125938,253339,1540347,2747664,2817323
5,1,16,2000000,3,3,43,21,25,26,30,67,76,147
5,1,16,2000000,4,1,3485,13,13,15,21,46,69262,69262
5,1,16,2000000,4,2,831275,145380,153124,160127,453828,2026068,2097402,2097402
5,1,16,2000000,4,3,19,9,11,11,20,34,50,50


7,1,16,2000000,1,1,1344,36,36,38,58,336,21191,21191
7,1,16,2000000,1,2,2223474,127499,127499,185043,252923,10690815,11825676,11825676
7,1,16,2000000,1,3,117,35,35,42,57,366,438,438
7,1,16,2000000,2,1,32,17,17,17,31,62,62,62
7,1,16,2000000,2,2,511033,163219,163219,163219,555420,929683,929683,929683
7,1,16,2000000,2,3,42,15,15,15,37,109,109,109
7,1,16,2000000,3,1,1375,21,24,25,59,230,3217,45978
7,1,16,2000000,3,2,2281473,148326,163839,169222,3272030,4975164,5389984,5791231
7,1,16,2000000,3,3,73,13,18,22,57,148,188,215
7,1,16,2000000,4,1,36,7,13,15,36,56,63,102
7,1,16,2000000,4,2,1742908,27798,35886,125360,722516,4351543,4842251,5318412
7,1,16,2000000,4,3,34,5,12,13,35,55,105,120

8,1,8,2000000,1,1,56,36,36,39,49,100,117,117
8,1,8,2000000,1,2,256739,148942,148942,207767,282099,293873,351468,351468
8,1,8,2000000,1,3,51,40,40,42,52,61,67,67
8,1,8,2000000,2,1,41,19,19,19,36,100,100,100
8,1,8,2000000,2,2,513300,161128,161128,161128,635239,868971,868971,868971
8,1,8,2000000,2,3,32,18,18,18,35,48,48,48
8,1,8,2000000,3,1,40,18,18,22,35,76,83,83
8,1,8,2000000,3,2,260513,113039,113039,146340,265169,410205,457222,457222
8,1,8,2000000,3,3,38,20,20,24,37,52,62,62
8,1,8,2000000,4,1,29,13,13,13,27,81,81,81
8,1,8,2000000,4,2,452328,145276,145276,145276,204843,2218542,2218542,2218542
8,1,8,2000000,4,3,21,16,16,16,22,36,36,36



11,1,8,2000000,1,1,57,37,37,38,48,95,97,97
11,1,8,2000000,1,2,203158,149174,149174,152793,189874,231842,418717,418717
11,1,8,2000000,1,3,46,38,38,38,44,58,59,59
