NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99






7,2,32,1000000,4,1,91639,91639,91639,91639,91639,91639,91639,91639
7,2,32,1000000,4,2,1169,1169,1169,1169,1169,1169,1169,1169
7,2,32,1000000,4,3,1420690,1420690,1420690,1420690,1420690,1420690,1420690,1420690
7,2,32,1000000,4,4,288709,288709,288709,288709,288709,288709,288709,288709
7,2,32,1000000,4,5,35,35,35,35,35,35,35,35

8,2,48,1000000,3,1,254384,254384,254384,254384,254384,254384,254384,254384
8,2,48,1000000,3,2,400769,15583,15583,15583,289097,735398,735398,735398
8,2,48,1000000,3,3,943494,658933,658933,658933,967089,1239469,1239469,1239469
8,2,48,1000000,3,4,143366,45864,45864,45864,96083,331281,331281,331281
8,2,48,1000000,3,5,70,70,70,70,70,70,70,70


