NO,compactor,current_node_id,thread,ops_per_thread,type,time
24,2,3,4,3000000,local,5
24,2,3,4,3000000,node 0,10
25,2,3,4,3000000,local,4
25,2,3,4,3000000,node 0,8
27,2,3,4,3000000,local,9
27,2,3,4,3000000,node 0,22
27,2,3,4,3000000,node 1,1
28,2,3,4,3000000,local,2
28,2,3,4,3000000,node 0,10
30,2,3,4,3000000,local,10
30,2,3,4,3000000,node 0,10
30,2,3,4,3000000,node 5,1
31,2,3,4,3000000,local,9
31,2,3,4,3000000,node 0,15
32,2,3,4,3000000,local,8
32,2,3,4,3000000,node 0,13
34,2,3,4,3000000,local,13
34,2,3,4,3000000,node 0,6
35,2,3,4,3000000,local,12
35,2,3,4,3000000,node 0,9
36,2,3,4,3000000,local,13
36,2,3,4,3000000,node 0,8
37,2,3,4,3000000,local,7
37,2,3,4,3000000,node 0,7
38,2,3,4,3000000,local,10
38,2,3,4,3000000,node 0,8
39,2,3,4,3000000,local,12
39,2,3,4,3000000,node 0,9
40,2,3,4,3000000,local,14
40,2,3,4,3000000,node 0,8
