compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
1,1,1,3000000,794368,318.2,915,1807,3368,5991,296,680,680
1,1,1,3000000,709357,284.1,1012,2153,3920,8550,240,597,665
1,1,1,3000000,785000,314.4,927,1807,3433,5626,255,476,476
1,1,2,3000000,1056715,423.3,1252,2267,3918,7089,177,639,677
1,1,2,3000000,1182482,473.6,1169,2002,3684,6903,181,554,722
1,1,4,3000000,1939999,777.1,1245,1998,3866,8015,149,378,592
1,1,4,3000000,2096242,839.6,1121,1642,3143,5919,201,441,825
1,1,8,3000000,838588,335.9,1574,2481,4069,7393,210,2422,15346
1,1,8,3000000,975173,390.6,1600,2609,4660,460602464,280,1065,6519
1,1,12,3000000,636601,255.0,1592,2629,4799,0,598,3225,10299
1,1,12,3000000,628819,251.9,1313,2078,3483,455355544,726,2361,13506
0,1,1,3000000,741402,297.0,1015,1926,3474,1672290392,257,525,593
0,1,1,3000000,748378,299.8,982,1982,3531,0,253,473,509
0,1,2,3000000,742378,297.4,1763,2864,5034,2004828648,277,814,844
0,1,2,3000000,915515,366.7,1483,2664,4966,0,304,763,894
0,1,4,3000000,1834821,734.9,1384,2164,3760,364012136,894,2013,2013
0,1,4,3000000,1163539,466.0,1718,2687,4454,0,263,883,1259
0,1,8,3000000,1511906,605.6,1820,2916,4518,113181360,339,1944,2172
0,1,8,3000000,1291084,517.1,1852,2980,4935,0,204,1920,2277
0,1,12,3000000,1262307,505.6,1834,2943,5024,158347784,362,1826,2350
0,1,12,3000000,1316378,527.3,1850,2985,4728,0,313,2171,2650
