thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,820497,328.6,0.904735,1.290656,1.290656,1.290656,0.504844,0.825395,0.825395,0.825395,922,1520,2999,6448
2,5000000,1312405,525.7,0.894968,1.290656,1.290656,1.290656,0.738175,0.811420,0.811420,0.811420,1062,1638,3098,6502
4,5000000,2069503,828.9,0.878643,1.290656,1.290656,1.290656,0.656837,0.656837,0.656837,0.656837,1150,1740,3065,6104
4,5000000,1880189,753.1,0.882298,1.290656,1.290656,1.434062,0.680758,0.680758,0.680758,0.680758,1137,1720,3054,5657
4,5000000,2153959,862.8,0.878925,1.290656,1.290656,1.720874,0.784348,0.784348,0.784348,0.784348,1125,1640,2952,4960
8,5000000,2174875,871.1,0.899874,1.290656,1.290656,1.290656,0.684560,0.684560,0.684560,0.684560,1241,1890,3277,6157
8,5000000,2271555,909.9,0.902103,1.290656,1.290656,1.290656,0.764100,0.764100,0.764100,0.764100,1192,1779,3014,5326
8,5000000,2169760,869.1,0.895206,1.290656,1.290656,1.290656,0.688952,0.688952,0.688952,0.688952,1312,2106,3562,6597
16,5000000,1349592,540.6,0.898254,1.290656,1.290656,1.290656,0.657237,0.657237,0.657237,0.657237,1827,2833,4759,9261
16,5000000,1452296,581.7,0.885671,1.290656,1.290656,1.290656,0.747890,0.747890,0.747890,0.747890,1701,2689,4453,8894
16,5000000,1389832,556.7,0.909827,1.290656,1.290656,1.290656,0.689988,0.689988,0.689988,0.689988,1782,2776,4533,8626
32,5000000,1279871,512.6,0.878332,1.290656,1.290656,1.290656,0.570699,0.570699,0.570699,0.570699,2000,2973,4693,9535
32,5000000,1287173,515.6,0.901963,1.290656,1.290656,1.290656,0.745958,0.745958,0.745958,0.745958,1984,2947,4606,9246
8,5000000,1099760,440.5,0.884942,1.290656,1.290656,1.290656,0.681566,0.681566,0.681566,0.681566,1246,1917,3127,5914
16,5000000,1033532,414.0,0.867978,0.860437,1.290656,1.290656,0.781285,1.633698,1.633698,1.633698,1843,2885,4993,9599
16,5000000,1053231,421.9,0.901626,1.290656,1.290656,1.290656,0.795465,0.809998,0.809998,0.809998,1880,2888,4793,9227
16,5000000,915630,366.7,0.884836,1.290656,1.290656,1.290656,0.765595,0.765595,0.765595,0.765595,1799,2847,4862,9678
32,5000000,1244322,498.4,0.888319,1.290656,1.290656,1.290656,0.796481,0.810488,0.810488,0.810488,2009,2979,4656,9319
32,5000000,1214414,486.4,0.893589,1.290656,1.290656,1.290656,0.767753,0.767753,0.767753,0.767753,2005,2966,4608,9208
32,5000000,1152785,461.7,0.898509,1.290656,1.290656,1.434062,0.773976,0.773976,0.773976,0.773976,1968,2922,4448,8902
